"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO6652","MII72hvsMI12h",4.113,0,7387290,7388675,1386,"+"
"SCO7251","MII24hvsMI12h",4.079,0,8060696,8061733,1038,"-"
"SCO7251","MII48hvsMI12h",4.435,0,8060696,8061733,1038,"-"
"SCO7251","MII72hvsMI12h",4.076,0,8060696,8061733,1038,"-"
"SCO1474","MII24hvsMI12h",2.791,0,1574728,1575279,552,"+"
"SCO1474","MII48hvsMI12h",3.394,0,1574728,1575279,552,"+"
"SCO1474","MII72hvsMI12h",3.969,0,1574728,1575279,552,"+"
"SCO4793","MII24hvsMI12h",1.741,0,5214259,5215302,1044,"-"
"SCO4793","MII48hvsMI12h",3.797,0,5214259,5215302,1044,"-"
"SCO4793","MII72hvsMI12h",3.947,0,5214259,5215302,1044,"-"
"SCO1029","MII24hvsMI12h",2.011,0,1087360,1087587,228,"+"
"SCO1029","MII48hvsMI12h",3.765,0,1087360,1087587,228,"+"
"SCO1029","MII72hvsMI12h",3.933,0,1087360,1087587,228,"+"
"SCO2819","MII24hvsMI12h",2.175,0,3079189,3079803,615,"-"
"SCO2819","MII48hvsMI12h",3.675,0,3079189,3079803,615,"-"
"SCO2819","MII72hvsMI12h",3.881,0,3079189,3079803,615,"-"
"SCO0644","MII24hvsMI12h",0.559,0,685288,687444,2157,"-"
"SCO0644","MII48hvsMI12h",4.029,0,685288,687444,2157,"-"
"SCO0644","MII72hvsMI12h",3.864,0,685288,687444,2157,"-"
"SCO4335","MII24hvsMI12h",2.127,0,4750489,4750677,189,"-"
"SCO4335","MII48hvsMI12h",3.289,0,4750489,4750677,189,"-"
"SCO4335","MII72hvsMI12h",3.585,0,4750489,4750677,189,"-"
"SCO5175","MII24hvsMI12h",2.411,0,5623391,5624458,1068,"+"
"SCO5175","MII48hvsMI12h",3.822,0,5623391,5624458,1068,"+"
"SCO5175","MII72hvsMI12h",3.546,0,5623391,5624458,1068,"+"
"SCO5174","MII24hvsMI12h",2.227,0,5621463,5623244,1782,"+"
"SCO5174","MII48hvsMI12h",3.54,0,5621463,5623244,1782,"+"
"SCO5174","MII72hvsMI12h",3.506,0,5621463,5623244,1782,"+"
"SCO3324","MII24hvsMI12h",2.74,0,3676214,3677473,1260,"+"
"SCO3324","MII48hvsMI12h",3.109,0,3676214,3677473,1260,"+"
"SCO3324","MII72hvsMI12h",3.481,0,3676214,3677473,1260,"+"
"SCO2805","MII24hvsMI12h",0.833,0,3062230,3063669,1440,"+"
"SCO2805","MII48hvsMI12h",3.553,0,3062230,3063669,1440,"+"
"SCO2805","MII72hvsMI12h",3.443,0,3062230,3063669,1440,"+"
"SCO7453","MII24hvsMI12h",1.507,0,8268376,8269446,1071,"-"
"SCO7453","MII48hvsMI12h",1.703,0,8268376,8269446,1071,"-"
"SCO7453","MII72hvsMI12h",3.411,0,8268376,8269446,1071,"-"
"SCO5191","MII24hvsMI12h",-1.97,0,5648112,5648435,324,"+"
"SCO5191","MII48hvsMI12h",2.061,0,5648112,5648435,324,"+"
"SCO5191","MII72hvsMI12h",3.316,0,5648112,5648435,324,"+"
"SCO5351","MII24hvsMI12h",0.826,0,5818975,5819478,504,"+"
"SCO5351","MII48hvsMI12h",2.788,0,5818975,5819478,504,"+"
"SCO5351","MII72hvsMI12h",3.305,0,5818975,5819478,504,"+"
"SCO0684","MII24hvsMI12h",2.714,0,725619,726395,777,"-"
"SCO0684","MII48hvsMI12h",3.426,0,725619,726395,777,"-"
"SCO0684","MII72hvsMI12h",3.292,0,725619,726395,777,"-"
"SCO3134","MII24hvsMI12h",0.916,0,3434985,3435941,957,"-"
"SCO3134","MII48hvsMI12h",2.997,0,3434985,3435941,957,"-"
"SCO3134","MII72hvsMI12h",3.213,0,3434985,3435941,957,"-"
"SCO7253","MII24hvsMI12h",1.216,0,8063663,8064979,1317,"-"
"SCO7253","MII48hvsMI12h",3.104,0,8063663,8064979,1317,"-"
"SCO7253","MII72hvsMI12h",3.174,0,8063663,8064979,1317,"-"
"SCO5834","MII24hvsMI12h",1.461,0,6384501,6385247,747,"-"
"SCO5834","MII48hvsMI12h",3.106,0,6384501,6385247,747,"-"
"SCO5834","MII72hvsMI12h",3.173,0,6384501,6385247,747,"-"
"SCO2302","MII24hvsMI12h",2.614,0,2471382,2472650,1269,"+"
"SCO2302","MII48hvsMI12h",3.114,0,2471382,2472650,1269,"+"
"SCO2302","MII72hvsMI12h",3.168,0,2471382,2472650,1269,"+"
"SCO4173","MII24hvsMI12h",2.497,0,4587481,4587828,348,"-"
"SCO4173","MII48hvsMI12h",2.803,0,4587481,4587828,348,"-"
"SCO4173","MII72hvsMI12h",3.157,0,4587481,4587828,348,"-"
"SCO5177","MII24hvsMI12h",2.595,0,5625610,5626359,750,"+"
"SCO5177","MII48hvsMI12h",3.342,0,5625610,5626359,750,"+"
"SCO5177","MII72hvsMI12h",3.038,0,5625610,5626359,750,"+"
"SCO0944","MII24hvsMI12h",1.019,0,989560,990210,651,"+"
"SCO0944","MII48hvsMI12h",3.184,0,989560,990210,651,"+"
"SCO0944","MII72hvsMI12h",3.02,0,989560,990210,651,"+"
"SCO1860","MII24hvsMI12h",2.73,0,1994050,1995057,1008,"-"
"SCO1860","MII48hvsMI12h",3.369,0,1994050,1995057,1008,"-"
"SCO1860","MII72hvsMI12h",3.003,0,1994050,1995057,1008,"-"
"SCO1835","MII24hvsMI12h",1.768,0,1964648,1964833,186,"-"
"SCO1835","MII48hvsMI12h",2.286,0,1964648,1964833,186,"-"
"SCO1835","MII72hvsMI12h",2.966,0,1964648,1964833,186,"-"
"SCO1375","MII24hvsMI12h",1.909,0,1452656,1452859,204,"+"
"SCO1375","MII48hvsMI12h",2.416,0,1452656,1452859,204,"+"
"SCO1375","MII72hvsMI12h",2.873,0,1452656,1452859,204,"+"
"SCO1432","MII24hvsMI12h",1.145,0,1527125,1528564,1440,"-"
"SCO1432","MII48hvsMI12h",2.362,0,1527125,1528564,1440,"-"
"SCO1432","MII72hvsMI12h",2.866,0,1527125,1528564,1440,"-"
"SCO1629","MII24hvsMI12h",3.453,0,1742651,1743058,408,"-"
"SCO1629","MII48hvsMI12h",3.105,0,1742651,1743058,408,"-"
"SCO1629","MII72hvsMI12h",2.84,0,1742651,1743058,408,"-"
"SCO4920","MII24hvsMI12h",1.819,0,5354229,5355182,954,"+"
"SCO4920","MII48hvsMI12h",2.694,0,5354229,5355182,954,"+"
"SCO4920","MII72hvsMI12h",2.812,0,5354229,5355182,954,"+"
"SCO0932","MII24hvsMI12h",1.828,0,979340,980104,765,"+"
"SCO0932","MII48hvsMI12h",3.528,0,979340,980104,765,"+"
"SCO0932","MII72hvsMI12h",2.784,0,979340,980104,765,"+"
"SCO1673","MII24hvsMI12h",0.847,0,1794077,1794265,189,"+"
"SCO1673","MII48hvsMI12h",1.419,0,1794077,1794265,189,"+"
"SCO1673","MII72hvsMI12h",2.511,0,1794077,1794265,189,"+"
"SCO5864","MII24hvsMI12h",1.732,0,6421618,6421914,297,"+"
"SCO5864","MII48hvsMI12h",1.512,0,6421618,6421914,297,"+"
"SCO5864","MII72hvsMI12h",2.497,0,6421618,6421914,297,"+"
"SCO5827","MII24hvsMI12h",1.908,0,6376354,6377946,1593,"+"
"SCO5827","MII48hvsMI12h",2.717,0,6376354,6377946,1593,"+"
"SCO5827","MII72hvsMI12h",2.489,0,6376354,6377946,1593,"+"
"SCO4411","MII24hvsMI12h",1.117,0,4828773,4829285,513,"+"
"SCO4411","MII48hvsMI12h",2.659,0,4828773,4829285,513,"+"
"SCO4411","MII72hvsMI12h",2.483,0,4828773,4829285,513,"+"
"SCO3195","MII24hvsMI12h",1.593,0,3501532,3502212,681,"+"
"SCO3195","MII48hvsMI12h",2.301,0,3501532,3502212,681,"+"
"SCO3195","MII72hvsMI12h",2.475,0,3501532,3502212,681,"+"
"SCO6795","MII24hvsMI12h",2.449,0,7557438,7557872,435,"+"
"SCO6795","MII48hvsMI12h",3.433,0,7557438,7557872,435,"+"
"SCO6795","MII72hvsMI12h",2.469,0,7557438,7557872,435,"+"
"SCO5176","MII24hvsMI12h",2.167,0,5624510,5625622,1113,"+"
"SCO5176","MII48hvsMI12h",2.869,0,5624510,5625622,1113,"+"
"SCO5176","MII72hvsMI12h",2.458,0,5624510,5625622,1113,"+"
"SCO5249","MII24hvsMI12h",2.925,0,5709624,5711030,1407,"+"
"SCO5249","MII48hvsMI12h",3.171,0,5709624,5711030,1407,"+"
"SCO5249","MII72hvsMI12h",2.443,0,5709624,5711030,1407,"+"
"SCO1174","MII24hvsMI12h",2.382,0,1237012,1238535,1524,"+"
"SCO1174","MII48hvsMI12h",2.54,0,1237012,1238535,1524,"+"
"SCO1174","MII72hvsMI12h",2.398,0,1237012,1238535,1524,"+"
"SCO2404","MII24hvsMI12h",0.855,0,2575786,2576895,1110,"+"
"SCO2404","MII48hvsMI12h",2.426,0,2575786,2576895,1110,"+"
"SCO2404","MII72hvsMI12h",2.339,0,2575786,2576895,1110,"+"
"SCO4883","MII24hvsMI12h",2.038,0,5315652,5316884,1233,"+"
"SCO4883","MII48hvsMI12h",2.234,0,5315652,5316884,1233,"+"
"SCO4883","MII72hvsMI12h",2.303,0,5315652,5316884,1233,"+"
"SCO5511","MII24hvsMI12h",1.073,0,5999549,6002875,3327,"+"
"SCO5511","MII48hvsMI12h",2.317,0,5999549,6002875,3327,"+"
"SCO5511","MII72hvsMI12h",2.298,0,5999549,6002875,3327,"+"
"SCO5390","MII24hvsMI12h",1.508,0,5858868,5859896,1029,"-"
"SCO5390","MII48hvsMI12h",1.922,0,5858868,5859896,1029,"-"
"SCO5390","MII72hvsMI12h",2.277,0,5858868,5859896,1029,"-"
"SCO6797","MII24hvsMI12h",2.213,0,7558302,7558856,555,"+"
"SCO6797","MII48hvsMI12h",3.039,0,7558302,7558856,555,"+"
"SCO6797","MII72hvsMI12h",2.172,0,7558302,7558856,555,"+"
"SCO6079","MII24hvsMI12h",1.083,0,6674122,6674673,552,"+"
"SCO6079","MII48hvsMI12h",1.901,0,6674122,6674673,552,"+"
"SCO6079","MII72hvsMI12h",2.131,0,6674122,6674673,552,"+"
"SCO2035","MII24hvsMI12h",2.161,0,2186336,2187163,828,"-"
"SCO2035","MII48hvsMI12h",2.392,0,2186336,2187163,828,"-"
"SCO2035","MII72hvsMI12h",2.119,0,2186336,2187163,828,"-"
"SCO5444","MII24hvsMI12h",1.875,0,5922464,5925088,2625,"+"
"SCO5444","MII48hvsMI12h",1.864,0,5922464,5925088,2625,"+"
"SCO5444","MII72hvsMI12h",2.116,0,5922464,5925088,2625,"+"
"SCO5391","MII24hvsMI12h",1.164,0,5860153,5860485,333,"+"
"SCO5391","MII48hvsMI12h",1.839,0,5860153,5860485,333,"+"
"SCO5391","MII72hvsMI12h",2.113,0,5860153,5860485,333,"+"
"SCO1838","MII24hvsMI12h",0.962,0,1966275,1967078,804,"-"
"SCO1838","MII48hvsMI12h",2.075,0,1966275,1967078,804,"-"
"SCO1838","MII72hvsMI12h",2.079,0,1966275,1967078,804,"-"
"SCO6211","MII24hvsMI12h",0.927,0,6824153,6825088,936,"+"
"SCO6211","MII48hvsMI12h",2.267,0,6824153,6825088,936,"+"
"SCO6211","MII72hvsMI12h",2.078,0,6824153,6825088,936,"+"
"SCO1823","MII24hvsMI12h",1.162,0,1954009,1954383,375,"-"
"SCO1823","MII48hvsMI12h",3.924,0,1954009,1954383,375,"-"
"SCO1823","MII72hvsMI12h",2.075,0,1954009,1954383,375,"-"
"SCO5029","MII24hvsMI12h",2.377,0,5464767,5465483,717,"+"
"SCO5029","MII48hvsMI12h",2.445,0,5464767,5465483,717,"+"
"SCO5029","MII72hvsMI12h",2.027,0,5464767,5465483,717,"+"
"SCO5100","MII24hvsMI12h",1.192,0,5541010,5541762,753,"+"
"SCO5100","MII48hvsMI12h",2.421,0,5541010,5541762,753,"+"
"SCO5100","MII72hvsMI12h",2.018,0,5541010,5541762,753,"+"
"SCO5442","MII24hvsMI12h",1.925,0,5918375,5920075,1701,"-"
"SCO5442","MII48hvsMI12h",2.342,0,5918375,5920075,1701,"-"
"SCO5442","MII72hvsMI12h",2.014,0,5918375,5920075,1701,"-"
"SCO4239","MII24hvsMI12h",2.03,0,4644506,4644952,447,"-"
"SCO4239","MII48hvsMI12h",2.301,0,4644506,4644952,447,"-"
"SCO4239","MII72hvsMI12h",2.007,0,4644506,4644952,447,"-"
"SCO2908","MII24hvsMI12h",1.21,0,3160574,3161326,753,"-"
"SCO2908","MII48hvsMI12h",2.114,0,3160574,3161326,753,"-"
"SCO2908","MII72hvsMI12h",1.955,0,3160574,3161326,753,"-"
"SCO6209","MII24hvsMI12h",0.916,0,6823172,6823747,576,"+"
"SCO6209","MII48hvsMI12h",2.186,0,6823172,6823747,576,"+"
"SCO6209","MII72hvsMI12h",1.946,0,6823172,6823747,576,"+"
"SCO2008","MII24hvsMI12h",2.764,0,2149264,2150520,1257,"+"
"SCO2008","MII48hvsMI12h",2.646,0,2149264,2150520,1257,"+"
"SCO2008","MII72hvsMI12h",1.874,0,2149264,2150520,1257,"+"
"SCO4581","MII24hvsMI12h",0.637,0,5002738,5003547,810,"+"
"SCO4581","MII48hvsMI12h",2.141,0,5002738,5003547,810,"+"
"SCO4581","MII72hvsMI12h",1.858,0,5002738,5003547,810,"+"
"SCO1480","MII24hvsMI12h",2.027,0,1581512,1581835,324,"-"
"SCO1480","MII48hvsMI12h",1.792,0,1581512,1581835,324,"-"
"SCO1480","MII72hvsMI12h",1.763,0,1581512,1581835,324,"-"
"SCO5398","MII24hvsMI12h",1.778,0,5870023,5870463,441,"-"
"SCO5398","MII48hvsMI12h",2.138,0,5870023,5870463,441,"-"
"SCO5398","MII72hvsMI12h",1.722,0,5870023,5870463,441,"-"
"SCO1822","MII24hvsMI12h",0.906,0,1952378,1954012,1635,"-"
"SCO1822","MII48hvsMI12h",2.529,0,1952378,1954012,1635,"-"
"SCO1822","MII72hvsMI12h",1.629,0,1952378,1954012,1635,"-"
"SCO2927","MII24hvsMI12h",-0.643,0,3178620,3179765,1146,"-"
"SCO2927","MII48hvsMI12h",2.247,0,3178620,3179765,1146,"-"
"SCO2927","MII72hvsMI12h",1.547,0,3178620,3179765,1146,"-"
"SCO2067","MII24hvsMI12h",2.054,0,2217614,2218414,801,"+"
"SCO2067","MII48hvsMI12h",1.123,0,2217614,2218414,801,"+"
"SCO2067","MII72hvsMI12h",1.423,0,2217614,2218414,801,"+"
"SCO6796","MII24hvsMI12h",1.317,0,7557869,7558249,381,"+"
"SCO6796","MII48hvsMI12h",2.386,0,7557869,7558249,381,"+"
"SCO6796","MII72hvsMI12h",1.413,0,7557869,7558249,381,"+"
"SCO7471","MII24hvsMI12h",3.44,0,8284297,8285283,987,"+"
"SCO7471","MII48hvsMI12h",1.181,0,8284297,8285283,987,"+"
"SCO7471","MII72hvsMI12h",1.336,0,8284297,8285283,987,"+"
"SCO3662","MII24hvsMI12h",2.228,0,4043330,4043665,336,"-"
"SCO3662","MII48hvsMI12h",1.696,0,4043330,4043665,336,"-"
"SCO3662","MII72hvsMI12h",1.254,0,4043330,4043665,336,"-"
"SCO5447","MII24hvsMI12h",0.415,0,5927688,5929742,2055,"-"
"SCO5447","MII48hvsMI12h",3.094,0,5927688,5929742,2055,"-"
"SCO5447","MII72hvsMI12h",1.22,0,5927688,5929742,2055,"-"
"SCO7575","MII24hvsMI12h",0.618,0,8398566,8399423,858,"-"
"SCO7575","MII48hvsMI12h",2.047,0,8398566,8399423,858,"-"
"SCO7575","MII72hvsMI12h",1.198,0,8398566,8399423,858,"-"
"SCO2010","MII24hvsMI12h",2.449,0,2151573,2153399,1827,"+"
"SCO2010","MII48hvsMI12h",2.171,0,2151573,2153399,1827,"+"
"SCO2010","MII72hvsMI12h",1.145,0,2151573,2153399,1827,"+"
"SCO2240","MII24hvsMI12h",2.062,0,2409463,2410131,669,"-"
"SCO2240","MII48hvsMI12h",1.49,0,2409463,2410131,669,"-"
"SCO2240","MII72hvsMI12h",1.083,0,2409463,2410131,669,"-"
"SCO5230","MII24hvsMI12h",1.065,0,5690680,5690964,285,"-"
"SCO5230","MII48hvsMI12h",2.004,0,5690680,5690964,285,"-"
"SCO5230","MII72hvsMI12h",1.08,0,5690680,5690964,285,"-"
"SCO6766","MII24hvsMI12h",2.531,0,7523406,7524428,1023,"+"
"SCO6766","MII48hvsMI12h",1.089,0,7523406,7524428,1023,"+"
"SCO6766","MII72hvsMI12h",0.908,0,7523406,7524428,1023,"+"
"SCO1105","MII24hvsMI12h",3.24,0,1162399,1163901,1503,"-"
"SCO1105","MII48hvsMI12h",1.78,0,1162399,1163901,1503,"-"
"SCO1105","MII72hvsMI12h",0.864,0,1162399,1163901,1503,"-"
"SCO7472","MII24hvsMI12h",3.223,0,8285280,8285591,312,"+"
"SCO7472","MII48hvsMI12h",0.78,0,8285280,8285591,312,"+"
"SCO7472","MII72hvsMI12h",0.69,0,8285280,8285591,312,"+"
"SCO3956","MII24hvsMI12h",-2.73,0,4355990,4356952,963,"+"
"SCO3956","MII48hvsMI12h",-1.109,0,4355990,4356952,963,"+"
"SCO3956","MII72hvsMI12h",-0.728,0,4355990,4356952,963,"+"
"SCO6694","MII24hvsMI12h",-2.081,0,7444457,7445071,615,"+"
"SCO6694","MII48hvsMI12h",-1.747,0,7444457,7445071,615,"+"
"SCO6694","MII72hvsMI12h",-0.891,0,7444457,7445071,615,"+"
"SCO4804","MII24hvsMI12h",-2.222,0,5229309,5231756,2448,"+"
"SCO4804","MII48hvsMI12h",-1.384,0,5229309,5231756,2448,"+"
"SCO4804","MII72hvsMI12h",-1.082,0,5229309,5231756,2448,"+"
"SCO4801","MII24hvsMI12h",-2.047,0,5225006,5226826,1821,"-"
"SCO4801","MII48hvsMI12h",-1.362,0,5225006,5226826,1821,"-"
"SCO4801","MII72hvsMI12h",-1.121,0,5225006,5226826,1821,"-"
"SCO3000","MII24hvsMI12h",-2.55,0,3274075,3274746,672,"-"
"SCO3000","MII48hvsMI12h",-1.924,0,3274075,3274746,672,"-"
"SCO3000","MII72hvsMI12h",-1.228,0,3274075,3274746,672,"-"
"SCO2352","MII24hvsMI12h",-2.556,0,2521928,2522161,234,"-"
"SCO2352","MII48hvsMI12h",-1.332,0,2521928,2522161,234,"-"
"SCO2352","MII72hvsMI12h",-1.24,0,2521928,2522161,234,"-"
"SCO1046","MII24hvsMI12h",-2.342,0,1101284,1103545,2262,"+"
"SCO1046","MII48hvsMI12h",-2.004,0,1101284,1103545,2262,"+"
"SCO1046","MII72hvsMI12h",-1.436,0,1101284,1103545,2262,"+"
"SCO1293","MII24hvsMI12h",2.265,0,1367555,1368913,1359,"+"
"SCO1293","MII48hvsMI12h",-1.344,0,1367555,1368913,1359,"+"
"SCO1293","MII72hvsMI12h",-1.498,0,1367555,1368913,1359,"+"
"SCO6262","MII24hvsMI12h",-2.226,0,6884138,6887071,2934,"+"
"SCO6262","MII48hvsMI12h",-2.02,0,6884138,6887071,2934,"+"
"SCO6262","MII72hvsMI12h",-1.561,0,6884138,6887071,2934,"+"
"SCO3351","MII24hvsMI12h",-2.419,0,3710688,3712097,1410,"+"
"SCO3351","MII48hvsMI12h",-1.906,0,3710688,3712097,1410,"+"
"SCO3351","MII72hvsMI12h",-1.571,0,3710688,3712097,1410,"+"
"SCO1966","MII24hvsMI12h",-2.777,0,2105061,2107199,2139,"-"
"SCO1966","MII48hvsMI12h",-2.385,0,2105061,2107199,2139,"-"
"SCO1966","MII72hvsMI12h",-1.869,0,2105061,2107199,2139,"-"
"SCO2730","MII24hvsMI12h",-3.049,0,2976325,2976630,306,"+"
"SCO2730","MII48hvsMI12h",-2.42,0,2976325,2976630,306,"+"
"SCO2730","MII72hvsMI12h",-1.874,0,2976325,2976630,306,"+"
"SCO6086","MII24hvsMI12h",-2.412,0,6684546,6685493,948,"+"
"SCO6086","MII48hvsMI12h",-1.61,0,6684546,6685493,948,"+"
"SCO6086","MII72hvsMI12h",-1.902,0,6684546,6685493,948,"+"
"SCO6341","MII24hvsMI12h",-2.039,0,7000095,7000874,780,"+"
"SCO6341","MII48hvsMI12h",-2.08,0,7000095,7000874,780,"+"
"SCO6341","MII72hvsMI12h",-1.917,0,7000095,7000874,780,"+"
"SCO2205","MII24hvsMI12h",-3.472,0,2371009,2371323,315,"-"
"SCO2205","MII48hvsMI12h",-3.566,0,2371009,2371323,315,"-"
"SCO2205","MII72hvsMI12h",-1.928,0,2371009,2371323,315,"-"
"SCO6101","MII24hvsMI12h",-1.465,0,6700712,6700891,180,"-"
"SCO6101","MII48hvsMI12h",-1.85,0,6700712,6700891,180,"-"
"SCO6101","MII72hvsMI12h",-2.014,0,6700712,6700891,180,"-"
"SCO2848","MII24hvsMI12h",-1.929,0,3107369,3107845,477,"+"
"SCO2848","MII48hvsMI12h",-2.293,0,3107369,3107845,477,"+"
"SCO2848","MII72hvsMI12h",-2.036,0,3107369,3107845,477,"+"
"SCO2950","MII24hvsMI12h",-1.201,0,3206403,3206684,282,"-"
"SCO2950","MII48hvsMI12h",-1.655,0,3206403,3206684,282,"-"
"SCO2950","MII72hvsMI12h",-2.049,0,3206403,3206684,282,"-"
"SCO4852","MII24hvsMI12h",-1.949,0,5282708,5283115,408,"-"
"SCO4852","MII48hvsMI12h",-2.248,0,5282708,5283115,408,"-"
"SCO4852","MII72hvsMI12h",-2.058,0,5282708,5283115,408,"-"
"SCO3793","MII24hvsMI12h",-1.077,0,4171328,4171693,366,"+"
"SCO3793","MII48hvsMI12h",-2.264,0,4171328,4171693,366,"+"
"SCO3793","MII72hvsMI12h",-2.087,0,4171328,4171693,366,"+"
"SCO2911","MII24hvsMI12h",-2.052,0,3162704,3162982,279,"-"
"SCO2911","MII48hvsMI12h",-2.587,0,3162704,3162982,279,"-"
"SCO2911","MII72hvsMI12h",-2.134,0,3162704,3162982,279,"-"
"SCO7016","MII24hvsMI12h",-0.986,0,7797371,7798381,1011,"-"
"SCO7016","MII48hvsMI12h",-1.723,0,7797371,7798381,1011,"-"
"SCO7016","MII72hvsMI12h",-2.142,0,7797371,7798381,1011,"-"
"SCO4005","MII24hvsMI12h",-2.702,0,4397899,4398372,474,"+"
"SCO4005","MII48hvsMI12h",-2.484,0,4397899,4398372,474,"+"
"SCO4005","MII72hvsMI12h",-2.142,0,4397899,4398372,474,"+"
"SCO5494","MII24hvsMI12h",-3.36,0,5978785,5980992,2208,"+"
"SCO5494","MII48hvsMI12h",-2.551,0,5978785,5980992,2208,"+"
"SCO5494","MII72hvsMI12h",-2.159,0,5978785,5980992,2208,"+"
"SCO1557","MII24hvsMI12h",-1.459,0,1669056,1669883,828,"-"
"SCO1557","MII48hvsMI12h",-2.261,0,1669056,1669883,828,"-"
"SCO1557","MII72hvsMI12h",-2.307,0,1669056,1669883,828,"-"
"SCO3166","MII24hvsMI12h",-2.722,0,3467222,3469459,2238,"-"
"SCO3166","MII48hvsMI12h",-2.431,0,3467222,3469459,2238,"-"
"SCO3166","MII72hvsMI12h",-2.307,0,3467222,3469459,2238,"-"
"SCO4641","MII24hvsMI12h",-2.271,0,5065114,5066586,1473,"+"
"SCO4641","MII48hvsMI12h",-2.271,0,5065114,5066586,1473,"+"
"SCO4641","MII72hvsMI12h",-2.483,0,5065114,5066586,1473,"+"
"SCO4020","MII24hvsMI12h",-1.47,0,4415129,4415944,816,"+"
"SCO4020","MII48hvsMI12h",-2.432,0,4415129,4415944,816,"+"
"SCO4020","MII72hvsMI12h",-2.486,0,4415129,4415944,816,"+"
"SCO4248","MII24hvsMI12h",0.783,0,4655526,4655948,423,"-"
"SCO4248","MII48hvsMI12h",-2.491,0,4655526,4655948,423,"-"
"SCO4248","MII72hvsMI12h",-2.51,0,4655526,4655948,423,"-"
"SCO4336","MII24hvsMI12h",-2.125,0,4750828,4751265,438,"+"
"SCO4336","MII48hvsMI12h",-3.294,0,4750828,4751265,438,"+"
"SCO4336","MII72hvsMI12h",-2.61,0,4750828,4751265,438,"+"
"SCO4031","MII24hvsMI12h",-2.473,0,4427069,4429648,2580,"-"
"SCO4031","MII48hvsMI12h",-2.977,0,4427069,4429648,2580,"-"
"SCO4031","MII72hvsMI12h",-2.928,0,4427069,4429648,2580,"-"
"SCO1558","MII24hvsMI12h",-2.275,0,1669950,1670672,723,"-"
"SCO1558","MII48hvsMI12h",-2.844,0,1669950,1670672,723,"-"
"SCO1558","MII72hvsMI12h",-2.962,0,1669950,1670672,723,"-"
"SCO5656","MII24hvsMI12h",-4.142,0,6155449,6155949,501,"-"
"SCO5656","MII48hvsMI12h",-4.338,0,6155449,6155949,501,"-"
"SCO5656","MII72hvsMI12h",-3.806,0,6155449,6155949,501,"-"
"SCO4640","MII24hvsMI12h",-4.519,0,5064405,5064998,594,"+"
"SCO4640","MII48hvsMI12h",-4.525,0,5064405,5064998,594,"+"
"SCO4640","MII72hvsMI12h",-4.257,0,5064405,5064998,594,"+"
"SCO5655","MII24hvsMI12h",-3.986,0,6154073,6155446,1374,"-"
"SCO5655","MII48hvsMI12h",-4.396,0,6154073,6155446,1374,"-"
"SCO5655","MII72hvsMI12h",-4.266,0,6154073,6155446,1374,"-"
"SCO7014","MII24hvsMI12h",-2.554,0,7791717,7792730,1014,"-"
"SCO7014","MII48hvsMI12h",-2.968,0,7791717,7792730,1014,"-"
"SCO7014","MII72hvsMI12h",-4.49,0,7791717,7792730,1014,"-"
"SCO4032","MII24hvsMI12h",-4.336,0,4429662,4430162,501,"-"
