"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_23450",-3.95316613585905,0,"data_bldC",5102123,5102875,"+"
"vnz_25200",-6.02990155824776,0,"data_bldC",5490268,5491194,"-"
"vnz_18830",-4.55280505019603,0,"data_bldC",4149767,4151227,"+"
"vnz_00155",-4.10929503917902,0,"data_bldC",32629,35982,"-"
"vnz_28150",-7.51484088279133,0,"data_bldC",6176605,6178572,"-"
"vnz_09015",-3.2307751767016,0,"data_bldC",2050914,2052470,"-"
"vnz_14065",2.8940117107868,0,"data_bldC",3125905,3127641,"+"
"vnz_31740",-3.63984746608431,0,"data_bldC",7017909,7018430,"+"
"vnz_21230",-2.9352196565237,0,"data_bldC",4653135,4655363,"+"
"vnz_30335",-4.08515090368752,0,"data_bldC",6695441,6698236,"+"
"vnz_32940",-5.66040695079171,0,"data_bldC",7303708,7304880,"+"
"vnz_20560",-3.01695114824006,0,"data_bldC",4507234,4508082,"+"
"vnz_14705",-7.08778900140297,0,"data_bldC",3271306,3272064,"+"
"vnz_28870",-7.36388956418202,0,"data_bldC",6360360,6360938,"-"
"vnz_03915",-4.23866056515552,0,"data_bldC",940869,942077,"+"
"vnz_23155",-3.04701693936303,0,"data_bldC",5040557,5041129,"+"
"vnz_28950",-4.33329028890049,0,"data_bldC",6381645,6382127,"+"
"vnz_35475",-5.691157927045,0,"data_bldC",7909331,7910611,"-"
"vnz_04640",-4.11186283946788,0,"data_bldC",1086956,1087162,"+"
"vnz_16835",-4.76355602747944,0,"data_bldC",3738331,3740004,"-"
"vnz_23855",-6.75260143724689,0,"data_bldC",5189895,5190893,"+"
"vnz_34490",-0.659897242252305,0,"data_bldC",7653147,7656143,"-"
"vnz_35480",-5.35978941865945,0,"data_bldC",7910601,7911917,"-"
"vnz_30450",-3.42134758323175,0,"data_bldC",6718676,6719956,"+"
"vnz_03695",-0.615669122426773,0,"data_bldC",887250,888458,"-"
"vnz_35045",-6.47214695983919,0,"data_bldC",7797007,7797903,"+"
"vnz_21570",3.87720111576452,0,"data_bldC",4720229,4720636,"-"
"vnz_21995",4.82433825117769,0,"data_bldC",4788643,4789548,"+"
"vnz_01260",-6.77230982093612,0,"data_bldC",276751,278220,"+"
"vnz_23150",-3.45335213503677,0,"data_bldC",5039888,5040544,"+"
"vnz_15375",-0.225161727512062,0,"data_bldC",3427793,3428470,"-"
"vnz_01985",-5.37501385314207,0,"data_bldC",446205,447413,"+"
"vnz_04955",-3.65662105731469,0,"data_bldC",1166191,1166418,"+"
"vnz_08245",2.7079429668561,0,"data_bldC",1883493,1884221,"-"
"vnz_29415",-1.54905046371431,0,"data_bldC",6479518,6480306,"-"
"vnz_32875",4.17631314487453,0,"data_bldC",7290253,7291761,"+"
"vnz_13000",-4.93837721131554,0,"data_bldC",2892418,2893068,"+"
"vnz_30760",-5.89385082533646,0,"data_bldC",6789786,6790577,"-"
"vnz_25210",-5.79587595769689,0,"data_bldC",5492463,5493893,"+"
"vnz_24765",5.26008775190487,0,"data_bldC",5394431,5395528,"+"
"vnz_01950",-3.39743997969002,0,"data_bldC",436306,437700,"+"
"vnz_31745",-2.87638050985745,0,"data_bldC",7018396,7019016,"-"
"vnz_13145",-0.134968491315979,0,"data_bldC",2918843,2920210,"-"
"vnz_28290",-4.66218321334508,0,"data_bldC",6203781,6205163,"+"
"vnz_30465",-2.61117441537739,0,"data_bldC",6722349,6722864,"-"
"vnz_06205",-4.23509118236501,0,"data_bldC",1434244,1435134,"-"
"vnz_33615",-2.76117229883421,0,"data_bldC",7465801,7466304,"-"
"vnz_24915",-4.65821391658202,0,"data_bldC",5423551,5423943,"+"
"vnz_35645",2.00503819238662,0,"data_bldC",7953747,7954556,"-"
"vnz_28260",-4.14394129471958,0,"data_bldC",6199131,6199772,"-"
"vnz_07365",-5.78426009795908,0,"data_bldC",1683699,1684697,"-"
"vnz_28900",-5.91264582142794,0,"data_bldC",6366290,6366715,"-"
"vnz_25215",-5.5740158657639,0,"data_bldC",5493959,5495317,"+"
"vnz_28865",-5.65010160406024,0,"data_bldC",6358628,6359329,"-"
"vnz_34785",-1.80776299067518,0,"data_bldC",7723546,7737882,"+"
"vnz_05190",-2.37636271615946,0,"data_bldC",1214293,1214811,"+"
"vnz_20485",-4.92292163534393,0,"data_bldC",4490507,4491952,"+"
"vnz_14060",3.05630031670686,0,"data_bldC",3125331,3125813,"+"
"vnz_05695",1.81144544649248,0,"data_bldC",1318542,1319120,"-"
"vnz_26105",-4.14191889257789,0,"data_bldC",5704234,5705709,"+"
"vnz_31975",-5.94465165145936,0,"data_bldC",7071572,7074199,"-"
"vnz_22895",-4.41679307682082,0,"data_bldC",4985630,4985863,"+"
"vnz_35470",-5.40935984258482,0,"data_bldC",7907760,7909334,"-"
"vnz_27090",-3.27111407793459,0,"data_bldC",5941413,5942771,"+"
"vnz_15110",3.23342097142133,0,"data_bldC",3366729,3367076,"+"
"vnz_22620",-3.50780682330135,0,"data_bldC",4928379,4928777,"+"
"vnz_35825",-5.79854320703795,0,"data_bldC",7998616,7999050,"+"
"vnz_19225",-3.14932085941062,0,"data_bldC",4238032,4238874,"+"
"vnz_20490",-5.71674092875602,0,"data_bldC",4491945,4492169,"-"
"vnz_00240",-4.26387834715333,0,"data_bldC",54125,54952,"-"
"vnz_16410",-6.32036350217369,0,"data_bldC",3649723,3651030,"-"
"vnz_16010",2.11481948972918,0,"data_bldC",3562524,3564368,"+"
"vnz_25180",-3.39640873631941,0,"data_bldC",5482201,5484513,"-"
"vnz_25225",-5.6764797666888,0,"data_bldC",5496536,5497876,"+"
"vnz_19000",-3.41675630968203,0,"data_bldC",4179099,4179668,"+"
"vnz_30290",-3.36141632789887,0,"data_bldC",6678961,6682692,"+"
"vnz_16000",1.49083124786561,0,"data_bldC",3560244,3561233,"+"
"vnz_31960",-4.9754187805738,0,"data_bldC",7067293,7068975,"-"
"vnz_02635",-4.35926972336453,0,"data_bldC",633034,634179,"+"
"vnz_30270",-4.64692534416536,0,"data_bldC",6673724,6674848,"-"
"vnz_28125",-5.55149135160836,0,"data_bldC",6172252,6173088,"-"
"vnz_22025",5.0181262591698,0,"data_bldC",4794934,4796175,"-"
"vnz_28130",-5.46927532164462,0,"data_bldC",6173085,6173513,"-"
"vnz_14140",3.00925685819275,0,"data_bldC",3136202,3138238,"+"
"vnz_18540",-3.41366151421763,0,"data_bldC",4094111,4095073,"+"
"vnz_13965",2.50683991631356,0,"data_bldC",3116157,3116381,"+"
"vnz_29910",-3.4748005792981,0,"data_bldC",6589673,6595819,"+"
"vnz_18450",-4.88723445852494,0,"data_bldC",4076065,4076370,"+"
"vnz_29905",-4.28828191786487,0,"data_bldC",6587256,6589559,"+"
"vnz_13885",-6.03218327563007,0,"data_bldC",3103924,3104346,"+"
"vnz_02640",-6.17202261556968,0,"data_bldC",634154,635680,"-"
"vnz_19255",0.153441056246291,0,"data_bldC",4242323,4243396,"-"
"vnz_28135",-5.52178879793003,0,"data_bldC",6173659,6174825,"-"
"vnz_21895",1.42255666549447,0,"data_bldC",4770033,4770905,"+"
"vnz_28265",-3.75929662425808,0,"data_bldC",6199769,6200482,"-"
"vnz_31930",-3.55833803897195,0,"data_bldC",7062624,7063196,"+"
"vnz_17235",-7.09199475902172,0,"data_bldC",3812979,3813182,"-"
"vnz_20925",-4.51284752503199,0,"data_bldC",4582751,4585357,"-"
"vnz_30280",-3.39038786014799,0,"data_bldC",6675841,6677937,"-"
"vnz_36685",-3.25559057214672,0,"data_bldC",8213010,8213798,"+"
"vnz_21555",3.42433128294855,0,"data_bldC",4718719,4719021,"-"
"vnz_18585",1.08315637496073,0,"data_bldC",4104943,4106547,"-"
"vnz_23160",-3.07009160557178,0,"data_bldC",5041139,5041756,"+"
"vnz_22470",-0.136127099240193,0,"data_bldC",4898897,4899919,"-"
"vnz_22945",-3.10256826835755,0,"data_bldC",4997378,4998826,"-"
"vnz_25830",-2.70974495561169,0,"data_bldC",5651799,5652965,"-"
"vnz_35420",-4.84547874644513,0,"data_bldC",7893277,7893924,"-"
"vnz_19085",-3.50761327147545,0,"data_bldC",4200526,4201965,"-"
"vnz_35460",-5.33888389870553,0,"data_bldC",7904284,7906209,"-"
"vnz_02595",-4.4738204776402,0,"data_bldC",619585,622632,"-"
"vnz_19920",-2.18979936157924,0,"data_bldC",4366748,4368499,"+"
"vnz_09960",-1.50097613374316,0,"data_bldC",2250503,2251051,"-"
"vnz_13960",2.12088384897436,0,"data_bldC",3115838,3116080,"+"
"vnz_13955",2.49042417893902,0,"data_bldC",3115623,3115841,"+"
"vnz_06565",-6.15587591934787,0,"data_bldC",1507299,1508129,"+"
"vnz_26100",-4.74332920758423,0,"data_bldC",5703152,5703808,"-"
"vnz_00225",-3.1337205447978,0,"data_bldC",51489,51767,"+"
"vnz_28250",-4.14899849062581,0,"data_bldC",6195779,6197725,"-"
"vnz_33660",-5.76253336850347,0,"data_bldC",7472947,7473711,"-"
"vnz_01980",-5.36893026819718,0,"data_bldC",444658,446208,"+"
"vnz_13465",-2.94058259153428,0,"data_bldC",3001903,3002457,"+"
"vnz_14050",3.31998431340396,0,"data_bldC",3124608,3124814,"+"
"vnz_20875",-3.11386046960977,0,"data_bldC",4572635,4573213,"-"
"vnz_18250",3.85208857537009,0,"data_bldC",4031473,4032474,"+"
"vnz_18590",1.16310877675577,0,"data_bldC",4106563,4107006,"-"
"vnz_29390",-3.36170013689994,0,"data_bldC",6473487,6474617,"-"
"vnz_35465",-5.07546176041061,0,"data_bldC",7906213,7907763,"-"
"vnz_29375",-1.94711857381003,0,"data_bldC",6469686,6471188,"+"
"vnz_19265",-0.235393491525033,0,"data_bldC",4244473,4245615,"-"
"vnz_23120",-3.44281055645885,0,"data_bldC",5035271,5035642,"+"
"vnz_14145",2.7260690734061,0,"data_bldC",3138241,3141009,"+"
"vnz_14070",2.44860553735551,0,"data_bldC",3127659,3127841,"+"
"vnz_19575",0.321027476980716,0,"data_bldC",4302429,4303109,"-"
"vnz_21535",3.19475163380816,0,"data_bldC",4714853,4716058,"-"
"vnz_35440",-4.61092373783155,0,"data_bldC",7897229,7898500,"-"
"vnz_34765",-1.869322349329,0,"data_bldC",7718985,7719653,"-"
"vnz_19260",0.185458277476245,0,"data_bldC",4243393,4244367,"-"
"vnz_36690",-3.313282358835,0,"data_bldC",8213795,8214358,"+"
"vnz_31575",-3.31989910694427,0,"data_bldC",6983405,6983866,"+"
"vnz_19815",-3.98875753812262,0,"data_bldC",4346238,4346531,"+"
"vnz_21515",3.61901833199799,0,"data_bldC",4710155,4711348,"-"
"vnz_25355",-4.17660102255301,0,"data_bldC",5535605,5537299,"+"
"vnz_14110",3.32849121794726,0,"data_bldC",3133818,3134192,"+"
"vnz_15680",-1.44007844252687,0,"data_bldC",3488894,3489709,"-"
"vnz_28145",-7.25315669502969,0,"data_bldC",6174969,6176531,"-"
"vnz_34865",-2.24325435261852,0,"data_bldC",7753949,7754626,"+"
"vnz_27640",-4.62013265715238,0,"data_bldC",6080659,6081468,"-"
"vnz_00705",0.217124784460231,0,"data_bldC",159027,159914,"+"
"vnz_09900",-4.09949859542526,0,"data_bldC",2237911,2238759,"-"
"vnz_16415",-3.65314211133376,0,"data_bldC",3651343,3653715,"+"
"vnz_22465",0.123179171574647,0,"data_bldC",4897557,4898900,"-"
"vnz_32420",-4.64781288016971,0,"data_bldC",7180540,7181613,"+"
"vnz_12260",2.6875559552212,0,"data_bldC",2718163,2719500,"-"
"vnz_18255",3.24955804601526,0,"data_bldC",4032504,4036085,"+"
"vnz_25835",-2.52896927441329,0,"data_bldC",5652970,5653491,"-"
"vnz_27100",-1.37865541367331,0,"data_bldC",5945115,5945801,"+"
"vnz_30755",-3.9035999170239,0,"data_bldC",6788125,6789786,"-"
"vnz_28210",-5.43016931351573,0,"data_bldC",6188720,6189169,"-"
"vnz_35330",-3.05749382650917,0,"data_bldC",7871778,7874057,"+"
"vnz_31915",-3.97372168903423,0,"data_bldC",7061218,7061652,"+"
"vnz_27205",-4.27137374546157,0,"data_bldC",5972731,5973618,"+"
"vnz_21530",3.44911521611193,0,"data_bldC",4713609,4714856,"-"
"vnz_13845",-2.00493043111001,0,"data_bldC",3094607,3095683,"-"
"vnz_15030",1.96483107424353,0,"data_bldC",3349617,3350576,"+"
"vnz_17470",0.602869123891996,0,"data_bldC",3855203,3857254,"-"
"vnz_15540",4.1291143679242,0,"data_bldC",3459705,3461129,"+"
"vnz_01975",-5.74709652915844,0,"data_bldC",443192,444661,"+"
"vnz_14075",2.94417552520496,0,"data_bldC",3127844,3129856,"+"
"vnz_14965",1.59249426470798,0,"data_bldC",3330005,3332284,"-"
"vnz_28300",-3.00670969339308,0,"data_bldC",6206099,6207214,"-"
"vnz_01965",-4.22686691051823,0,"data_bldC",440308,441840,"-"
"vnz_16265",-3.3270194512276,0,"data_bldC",3612879,3614426,"-"
"vnz_29440",3.21660842333563,0,"data_bldC",6486734,6488200,"+"
"vnz_30275",-5.3159268736176,0,"data_bldC",6674874,6675818,"-"
"vnz_23590",-3.51139003643393,0,"data_bldC",5138272,5138466,"+"
"vnz_35390",-6.14496516316947,0,"data_bldC",7886796,7887347,"-"
"vnz_23140",-3.2487944139499,0,"data_bldC",5038493,5039380,"+"
"vnz_28685",0.273888519352689,0,"data_bldC",6309825,6310652,"+"
"vnz_27575",-3.98445791034911,0,"data_bldC",6064346,6065263,"+"
"vnz_16985",-4.38724138680058,0,"data_bldC",3768142,3768822,"-"
"vnz_05095",-3.54658034508125,0,"data_bldC",1195764,1197461,"-"
"vnz_19235",-1.93495590126308,0,"data_bldC",4239245,4239523,"-"
"vnz_15235",-3.53642348418965,0,"data_bldC",3399123,3399353,"+"
"vnz_14550",-2.61711166561557,0,"data_bldC",3234635,3235447,"-"
"vnz_01685",-2.00966098685894,0,"data_bldC",382601,384622,"+"
"vnz_22625",-2.72266369337234,0,"data_bldC",4928793,4930100,"-"
"vnz_21420",-2.0973474002178,0,"data_bldC",4689580,4690602,"-"
"vnz_34760",-1.46664185074601,0,"data_bldC",7717214,7718938,"+"
"vnz_19230",-2.48309247658668,0,"data_bldC",4239039,4239224,"+"
"vnz_26265",1.82645390946949,0,"data_bldC",5736589,5737683,"+"
"vnz_18535",-4.5687229678952,0,"data_bldC",4093693,4094112,"-"
"vnz_35410",-6.98968236082416,0,"data_bldC",7890980,7892260,"-"
"vnz_28180",-3.52318425017685,0,"data_bldC",6184314,6185417,"-"
"vnz_09020",-3.20440848650379,0,"data_bldC",2052497,2054581,"-"
"vnz_16005",2.40571471157632,0,"data_bldC",3561245,3562357,"-"
"vnz_08075",0.571186349254453,0,"data_bldC",1843710,1845122,"-"
"vnz_22555",1.18229895769186,0,"data_bldC",4916956,4918239,"-"
"vnz_35425",-4.57545562705151,0,"data_bldC",7893921,7894715,"-"
"vnz_27670",2.69532335551063,0,"data_bldC",6090027,6090437,"-"
"vnz_30980",-3.01139268915167,0,"data_bldC",6850134,6850946,"-"
"vnz_21545",3.36304206324911,0,"data_bldC",4717195,4717407,"-"
"vnz_15545",4.28727858868921,0,"data_bldC",3461157,3461588,"-"
"vnz_16125",-4.29837725107859,0,"data_bldC",3586104,3587561,"-"
"vnz_34790",-1.95344014092074,0,"data_bldC",7737879,7738088,"+"
"vnz_03665",2.93530410148794,0,"data_bldC",882836,883222,"-"
"vnz_28215",-5.94301662407096,0,"data_bldC",6189159,6189875,"-"
"vnz_22540",-2.00702991930844,0,"data_bldC",4914840,4915118,"+"
"vnz_16130",-4.2358204766797,0,"data_bldC",3587647,3588519,"-"
"vnz_23510",3.35540670453456,0,"data_bldC",5116184,5116411,"-"
"vnz_13985",2.1716742659565,0,"data_bldC",3117796,3118386,"+"
"vnz_01275",-6.00448301845043,0,"data_bldC",281525,283444,"+"
"vnz_06640",2.71087391892589,0,"data_bldC",1520705,1524217,"-"
"vnz_32880",4.27551125041516,0,"data_bldC",7291799,7292506,"+"
"vnz_01610",-0.955472286154095,0,"data_bldC",366525,368588,"+"
"vnz_14135",3.07885020186834,0,"data_bldC",3135903,3136205,"+"
"vnz_35385",-5.60360695211879,0,"data_bldC",7885463,7886788,"-"
"vnz_21505",2.60236744912449,0,"data_bldC",4707836,4708966,"-"
"vnz_23115",-3.17207483386936,0,"data_bldC",5033999,5035267,"+"
"vnz_02600",-6.79268350735929,0,"data_bldC",622751,622951,"-"
"vnz_16490",-3.85182369026403,0,"data_bldC",3668235,3669530,"+"
"vnz_14125",3.17676938821251,0,"data_bldC",3135021,3135452,"+"
"vnz_28205",-5.12824417459483,0,"data_bldC",6188154,6188723,"-"
"vnz_19250",-0.00794737562958476,0,"data_bldC",4241517,4242293,"-"
"vnz_29180",-3.28192435695984,0,"data_bldC",6428923,6430257,"+"
"vnz_04545",-1.63210869008881,0,"data_bldC",1069524,1069982,"+"
"vnz_24535",-2.93519028753648,0,"data_bldC",5338245,5341268,"+"
"vnz_31965",-4.77927014786539,0,"data_bldC",7069161,7071254,"-"
"vnz_35430",-4.68609198777226,0,"data_bldC",7894712,7895947,"-"
"vnz_21525",3.79336209836542,0,"data_bldC",4712629,4713561,"-"
"vnz_03720",3.20931665433459,0,"data_bldC",893932,895998,"-"
"vnz_11225",2.0065870963979,0,"data_bldC",2479919,2480680,"+"
"vnz_00150",-4.26438285252626,0,"data_bldC",32126,32632,"-"
"vnz_13970",2.60452751318559,0,"data_bldC",3116488,3116979,"+"
"vnz_35830",-4.81527906397147,0,"data_bldC",7999065,7999481,"+"
"vnz_14095",3.76320248677081,0,"data_bldC",3132544,3132903,"+"
"vnz_35395",-6.4382715864833,0,"data_bldC",7887344,7888594,"-"
"vnz_21620",2.22524015307132,0,"data_bldC",4728514,4730493,"-"
"vnz_32965",-3.19626875914672,0,"data_bldC",7307296,7317069,"-"
"vnz_16840",-2.83081542775673,0,"data_bldC",3740080,3740598,"-"
"vnz_34780",-1.59592359186051,0,"data_bldC",7722407,7723414,"+"
"vnz_10475",0.740546616488112,0,"data_bldC",2321345,2321932,"+"
"vnz_10085",-1.06457600308127,0,"data_bldC",2276362,2276586,"-"
"vnz_28030",-1.15421784932563,0,"data_bldC",6154223,6155521,"+"
"vnz_16915",2.79827642775321,0,"data_bldC",3756073,3756831,"-"
"vnz_09895",-2.34634909517772,0,"data_bldC",2237667,2237951,"-"
