Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts TopA_depletion Replicate 1	Raw Counts TopA_depletion Replicate 2	Raw Counts TopA_depletion Replicate 3	Raw Counts TopA_depletion Replicate 4	Normalized Counts TopA_depletion Replicate 1	Normalized Counts TopA_depletion Replicate 2	Normalized Counts TopA_depletion Replicate 3	Normalized Counts TopA_depletion Replicate 4	RPKM TopA_depletion	Expression TopA_depletion	pValue wildtype vs TopA_depletion	qValue wildtype vs TopA_depletion	
3688201			3688421	+	-	predicted RNA	antisense: rrnF	62	241	167	120	122046	392800	354580	243213	502	1258	113	145	4	6	103746	119927	7166	8671	167	270	2,64E-61	1,43E-59	

7632017			7632380	+	-	predicted RNA	antisense: SCO6861	7	15	11	3	14823	25886	24195	7619	19	49	172	90	66	70	157725	74368	100617	90133	154	290	3,76E-57	1,88E-55	

3056567			3056733	+	-	predicted RNA	antisense: SCO2799	0	3	4	1	1805	5228	8477	2660	10	27	83	39	12	13	76640	32821	18119	16885	122	216	5,76E-57	2,87E-55	

3799357			3799107	-	-	predicted RNA	-	2	10	11	9	4892	17681	25146	18876	26	66	164	62	74	59	150618	51237	112036	76288	202	388	2,23E-55	1,10E-53	

1851213			1851354	+	-	predicted RNA	antisense: SCO1733	28	40	18	21	54800	65948	38456	43706	142	357	4	7	7	15	3680	6130	10705	19867	35	71	6,34E-53	3,00E-51	

187991			187478	-	-	predicted RNA	-	124	107	10	14	243607	174008	21511	29835	91	228	9	34	21	28	8252	28574	32336	36969	26	51	1,44E-52	6,72E-51	

190982			190846	-	-	predicted RNA	-	88	73	8	11	173575	119716	18173	23471	244	611	7	28	11	19	7159	23710	17996	25597	72	135	2,46E-51	1,13E-49	

2483490			2483158	-	-	predicted RNA	antisense: SCO2311	8	3	4	1	16192	5968	10527	3339	10	27	80	62	37	34	73891	51800	57005	44310	91	170	1,04E-45	4,29E-44	

4864492			4864209	-	-	predicted RNA	antisense: SCO4441	4	3	4	4	9503	6218	8705	8577	11	29	70	62	24	42	64383	51303	36712	54200	98	181	6,52E-44	2,65E-42	

1039878			1039719	-	-	predicted RNA	antisense: SCO0985	0	0	2	2	1572	1013	5100	5256	7	20	45	22	16	12	41892	18283	24765	16334	84	158	9,86E-43	3,95E-41	

4944642			4944380	-	-	predicted RNA	-	7	12	9	10	15571	19724	19104	21639	28	72	161	115	48	56	148455	94821	73191	73037	203	370	1,56E-42	6,22E-41	

6462736			6462499	-	-	predicted RNA	antisense: SCO5897	1	5	5	3	3611	9234	10993	7358	12	32	88	53	25	22	81303	44329	37939	28603	111	201	1,36E-41	5,30E-40	

429491			429479	-	-	predicted RNA	-	2	2	0	0	4145	4408	901	1330	83	207	0	0	0	0	353	322	178	152	10	19	5,58E-41	2,14E-39	

3934708			3934890	+	-	predicted RNA	-	85	129	51	48	167469	210304	108279	97711	319	797	29	44	28	32	27335	36741	42582	42096	106	203	5,68E-38	2,03E-36	

4527984			4527514	-	-	predicted RNA	antisense: SCO4120	6	4	14	8	12571	6668	31217	17917	13	36	108	99	43	72	99646	82150	65468	92816	97	180	9,42E-38	3,36E-36	

4829616			4829407	-	-	predicted RNA	-	3	1	3	2	7193	2429	6388	4614	9	24	52	35	21	17	48460	29592	32158	22550	85	158	1,47E-37	5,17E-36	

4805777			4805457	-	-	predicted RNA	antisense: SCO4388	28	32	28	20	54984	52280	61057	41501	63	163	357	274	110	150	327502	226119	166086	192483	389	710	5,06E-37	1,75E-35	

3304636			3304974	+	-	predicted RNA	antisense: SCO3022	12	14	6	7	25298	23232	12964	15592	22	56	92	120	62	66	84554	99383	94533	85622	143	268	3,29E-35	1,12E-33	

4671590			4671647	+	-	predicted RNA	antisense: SCO4259	5	7	4	7	11494	12090	8834	14243	79	201	2	2	1	1	2486	1866	1639	1617	17	32	1,43E-34	4,69E-33	

5031227			5030522	-	-	predicted RNA	antisense: SCO4606 SCO4607	19	32	34	17	38132	52658	73487	34533	27	70	274	298	106	123	251968	245922	160304	158993	159	289	4,15E-33	1,32E-31	

4711122			4711029	-	-	predicted RNA	antisense: groEL	11	20	8	6	23259	33850	17421	12615	93	231	2	7	2	3	2615	6180	3511	5108	25	46	5,05E-32	1,55E-30	

5626428			5626262	-	-	predicted RNA	antisense: SCO5177 SCO5178	3	2	4	5	6067	4649	9527	11089	18	46	70	37	25	29	64641	31190	37740	37924	137	256	1,80E-31	5,41E-30	

3305199			3305797	+	-	predicted RNA	antisense: SCO3023	12	10	22	9	24754	17327	47964	18290	17	45	202	124	61	65	185251	102400	92490	83501	105	193	1,68E-30	4,82E-29	

2483079			2483061	-	-	predicted RNA	antisense: SCO2311	0	0	0	0	368	152	188	530	6	16	5	3	1	1	4892	3241	2331	2402	93	169	4,54E-29	1,27E-27	

3363089			3363216	+	-	predicted RNA	antisense: SCO3070	1	3	2	0	3164	6025	5070	1190	12	30	33	20	17	18	30475	17269	25862	23945	99	190	6,12E-29	1,70E-27	

6421514			6421564	+	-	predicted RNA	-	12	14	9	14	23473	23722	20808	28467	186	472	114	98	69	90	105169	81161	104485	115490	1042	1991	1,89E-28	5,14E-27	

3208724			3208816	+	-	predicted RNA	-	16	36	28	47	32259	59102	60889	95469	262	665	33	13	9	10	30743	11350	14182	13346	100	187	2,50E-28	6,80E-27	

3024390			3024500	+	-	predicted RNA	antisense: SCO2772	2	0	2	0	4145	892	4397	1944	9	25	27	24	11	11	25072	19819	16679	15010	93	172	1,18E-27	3,16E-26	

5796395			5796662	+	-	predicted RNA	antisense: SCO5326	2	10	2	7	5805	17375	5645	14354	16	40	69	45	37	42	63567	37739	56841	54435	103	198	2,24E-27	5,94E-26	

2150698			2150588	-	-	predicted RNA	antisense: SCO2009	2	1	3	4	4232	2799	6982	8605	19	50	45	32	20	20	41525	26661	30560	26300	150	281	2,29E-27	6,07E-26	

160279			160031	-	-	predicted RNA	-	48	55	6	18	94660	90145	14380	36356	95	236	8	23	13	15	7818	19119	20314	19685	35	67	3,37E-27	8,87E-26	

3282858			3282826	-	-	predicted RNA	-	22	20	3	9	43287	32861	7051	18169	306	767	6	10	3	4	5770	8473	5177	5384	103	187	1,02E-25	2,56E-24	

4788492			4788523	+	-	predicted RNA	-	0	0	1	0	689	820	2376	1004	14	38	13	11	5	5	12505	9562	8216	7352	160	294	1,19E-25	2,96E-24	

186963			186664	-	-	predicted RNA	antisense: SCO0196	72	86	12	10	141869	140028	26334	22057	111	275	10	35	17	27	9779	29220	26047	35546	43	83	2,45E-25	6,06E-24	

200482			200604	+	-	predicted RNA	-	56	58	7	11	110144	95261	16816	23276	200	498	18	29	7	16	17302	23921	10568	21379	82	148	4,75E-25	1,17E-23	

3363346			3363419	+	-	predicted RNA	antisense: SCO3071	0	0	1	0	1436	337	2842	1376	7	20	18	12	6	5	17011	10216	9526	6515	80	146	1,31E-24	3,22E-23	

5118581			5118608	+	-	predicted RNA	-	0	1	0	0	1320	2244	1921	1218	23	59	12	19	7	7	11321	15903	10630	9139	231	419	1,40E-24	3,43E-23	

4692783			4692153	-	-	predicted RNA	antisense: SCO4276	13	31	22	17	25444	51524	48222	34831	25	63	163	185	103	104	150255	152529	155771	134274	125	234	2,54E-24	6,08E-23	

4431902			4431730	-	-	predicted RNA	-	4	2	10	6	8212	4102	21422	12242	25	66	113	59	21	20	104395	49139	32206	26072	172	306	2,70E-24	6,45E-23	

4937522			4937535	+	-	predicted RNA	antisense: SCO4515	0	0	0	0	135	112	415	0	4	11	1	1	1	1	1374	1043	1920	1341	51	101	1,74E-23	4,04E-22	

4955753			4955306	-	-	predicted RNA	antisense: SCO4537 SCO4536	19	25	27	29	38734	41814	59156	58693	43	110	276	235	106	80	253510	194382	159358	103855	218	396	1,74E-23	4,04E-22	

4051486			4051780	+	-	predicted RNA	antisense: dnaK	19	13	21	8	38734	21808	44944	17387	40	104	214	122	53	63	196730	101225	80454	81895	215	390	6,31E-23	1,43E-21	

3763675			3763786	+	-	predicted RNA	-	17	14	16	23	34802	23272	35248	46478	120	312	12	11	6	7	11264	9599	9375	10106	48	90	1,13E-21	2,43E-20	

5117721			5117537	-	-	predicted RNA	antisense: SCO4689 SCO4690	2	4	4	2	4717	7312	8834	5191	13	35	62	53	8	10	57004	44221	12996	12895	100	171	1,68E-21	3,58E-20	

1666828			1666551	-	-	predicted RNA	-	19	19	52	32	37666	31501	110409	66499	84	221	339	227	127	140	310906	187043	191591	180384	422	782	4,84E-21	1,02E-19	

8297020			8297435	+	-	predicted RNA	antisense: SCO7486	16	9	11	16	33103	15847	24393	32403	24	63	154	105	52	60	141955	87184	78945	77015	125	231	3,14E-20	6,36E-19	

7869653			7869983	+	-	predicted RNA	antisense: SCO7080	16	18	15	14	32763	30802	33742	29556	37	95	164	118	68	74	151167	97984	102496	96056	181	338	4,68E-20	9,45E-19	

4628918			4629098	+	-	predicted RNA	antisense: SCO4223	3	4	5	3	7387	7103	11429	7051	17	45	66	59	14	12	60784	49006	22426	15983	117	204	1,06E-19	2,12E-18	

6446796			6446647	-	-	predicted RNA	antisense: SCO5890	3	2	4	2	6057	3418	9091	5963	15	40	45	36	14	16	41554	30466	22042	20670	105	191	6,48E-19	1,25E-17	

3915026			3915010	-	-	predicted RNA	-	1	1	1	1	2824	2469	3367	3795	71	183	0	1	0	0	548	914	233	298	17	29	1,12E-18	2,13E-17	

5560309			5560376	+	-	predicted RNA	-	19	27	20	15	38481	43898	43111	31575	227	577	10	20	7	9	9956	17224	10973	12438	101	185	2,34E-18	4,40E-17	

1752269			1752147	-	-	predicted RNA	-	6	9	5	5	12862	15364	12409	11405	41	105	68	71	27	32	62321	58556	41903	41463	227	415	3,35E-18	6,23E-17	

5028185			5028127	-	-	predicted RNA	antisense: SCO4604	0	0	0	0	1271	305	921	1097	5	15	3	9	3	6	3660	7831	5205	8923	58	108	8,85E-18	1,61E-16	

159315			159371	+	-	predicted RNA	-	65	67	9	13	127550	109637	19401	27686	501	1246	11	36	16	28	10433	29977	24785	36342	234	445	3,57E-17	6,26E-16	

4890512			4890537	+	-	predicted RNA	-	33	46	21	24	65663	75890	45399	49790	905	2276	19	31	14	14	17946	26173	22028	18156	437	810	3,77E-17	6,60E-16	

4270235			4269941	-	-	predicted RNA	-	7	6	16	10	14940	9967	34346	21667	26	68	90	69	47	55	82573	57152	71819	70957	126	239	5,59E-17	9,71E-16	

5116873			5116973	+	-	predicted RNA	-	7	24	2	2	14658	39731	5546	4726	67	160	5	5	2	2	5049	4147	4101	3521	22	41	6,47E-17	1,12E-15	

6346644			6346741	+	-	predicted RNA	-	0	1	1	2	1815	2276	4169	5293	13	34	30	21	7	10	28146	17791	11693	12872	99	179	1,00E-16	1,72E-15	

1757592			1757322	-	-	predicted RNA	antisense: SCO1642	7	4	9	6	15590	7762	19996	14066	20	52	66	61	36	33	61028	50947	55201	43602	103	194	1,55E-16	2,60E-15	

6995966			6995955	-	-	predicted RNA	antisense: SCO6336	0	0	0	0	116	241	237	0	4	12	1	1	1	0	945	1386	1645	228	46	87	2,25E-16	3,73E-15	

7060691			7060519	-	-	predicted RNA	antisense: SCO6393	2	3	5	5	4601	5116	11736	10438	17	46	39	38	21	25	36117	31695	32741	32733	102	192	3,19E-16	5,23E-15	

6386391			6386186	-	-	predicted RNA	antisense: SCO5835	6	4	5	1	12474	7054	11062	3563	16	41	37	53	19	26	34404	43716	28777	33852	93	170	4,71E-16	7,65E-15	

3040698			3040723	+	-	predicted RNA	-	2	5	0	2	4213	9186	1871	4419	77	189	1	0	1	0	1369	149	1728	632	18	37	5,81E-16	9,37E-15	

883027			883018	-	-	predicted RNA	-	2	2	0	0	5368	3531	1267	1246	112	285	0	0	0	0	152	662	706	445	25	49	7,83E-16	1,26E-14	

3497211			3497296	+	-	predicted RNA	antisense: SCO3191	3	5	3	4	7455	8945	7299	9945	38	97	43	46	18	24	39978	37962	28070	31913	218	400	8,98E-16	1,44E-14	

2885994			2885977	-	-	predicted RNA	antisense: SCO2654	2	3	1	1	5387	5494	2683	3730	95	240	0	0	0	0	773	740	740	1101	24	46	1,45E-15	2,30E-14	

4529375			4529328	-	-	predicted RNA	-	0	0	1	1	135	699	2703	3414	13	36	12	10	5	8	11627	8837	8325	10715	110	205	2,06E-15	3,18E-14	

2258049			2258201	+	-	predicted RNA	-	8	5	9	3	16610	9218	19540	6065	32	84	51	47	26	47	47124	39477	40209	60809	161	306	4,33E-15	6,54E-14	

4142550			4142925	+	-	predicted RNA	antisense: SCO3769	7	15	13	12	14930	25549	27750	25602	24	62	116	85	47	45	106567	70817	71113	58407	110	204	4,52E-15	6,81E-14	

3393139			3392818	-	-	predicted RNA	-	42	65	161	65	82797	106178	342992	132728	197	516	742	582	313	365	680034	479721	471380	469363	877	1630	8,00E-15	1,18E-13	

5111539			5111491	-	-	predicted RNA	antisense: SCO4681	0	0	1	0	766	1319	2733	0	9	24	14	9	1	4	13101	8022	2551	5595	85	149	9,29E-15	1,37E-13	

167438			167285	-	-	predicted RNA	antisense: SCO0178	32	47	6	3	64382	76566	12865	7749	106	262	4	18	8	20	3718	15493	12900	25872	48	94	1,24E-14	1,81E-13	

5261288			5261029	-	-	predicted RNA	antisense: SCO4829	5	15	14	10	10630	25307	30979	21099	33	84	148	60	35	35	136265	49788	53754	45775	150	274	1,47E-14	2,14E-13	

6996447			6996353	-	-	predicted RNA	antisense: SCO6336	2	1	0	0	5135	3016	1465	1935	11	30	21	14	7	11	20046	11598	12008	14617	82	153	3,75E-14	5,35E-13	

3332598			3332394	-	-	predicted RNA	antisense: SCO3043	11	7	10	6	21949	11688	23234	14010	33	86	88	72	25	42	81509	59934	38227	53978	156	284	5,11E-14	7,22E-13	

5111884			5111983	+	-	predicted RNA	-	5	8	2	1	10241	14520	4555	2046	31	78	49	48	12	15	45176	39597	18126	20377	174	308	7,11E-14	9,91E-13	

3363806			3363958	+	-	predicted RNA	antisense: SCO3071	0	3	7	3	1485	5446	16282	6791	18	49	57	40	11	11	52369	33678	17001	15326	109	193	9,71E-14	1,33E-12	

1892343			1892204	-	-	predicted RNA	-	4	4	4	1	8542	7859	8556	3572	19	50	34	29	20	19	32055	24128	31424	25193	106	201	1,81E-13	2,46E-12	

6370904			6370948	+	-	predicted RNA	-	1	2	1	1	2058	3555	2129	3032	23	59	15	14	10	9	14467	11838	15725	11635	156	298	1,85E-13	2,51E-12	

5017632			5017726	+	-	predicted RNA	antisense: SCO4595	1	1	2	1	3582	2807	4516	3535	14	38	28	16	8	10	25846	13937	12770	13463	94	173	7,33E-13	9,57E-12	

6895398			6895492	+	-	predicted RNA	antisense: SCO6270	1	1	2	1	3582	2807	4516	3535	14	38	28	16	8	10	25846	13937	12770	13463	94	173	7,33E-13	9,57E-12	

5618439			5618307	-	-	predicted RNA	-	2	5	2	3	4921	8639	5031	8047	20	50	24	33	20	17	22223	27746	31383	22931	103	196	1,03E-12	1,34E-11	

5963136			5963165	+	-	predicted RNA	-	12	14	7	7	24026	23948	15172	15601	260	656	4	10	4	5	4553	8394	7406	6679	120	225	2,84E-12	3,54E-11	

4013708			4013870	+	-	predicted RNA	-	20	22	20	16	39093	37044	43715	32533	91	233	20	16	7	12	18853	13353	11322	15432	48	90	2,93E-12	3,63E-11	

8468212			8468164	-	-	predicted RNA	-	0	2	2	1	1262	3813	4664	2428	24	62	14	19	8	11	13207	16292	12948	14647	157	291	3,04E-12	3,76E-11	

5233202			5233251	+	-	predicted RNA	-	0	0	2	0	1543	1110	5605	716	16	44	16	10	6	7	14982	8663	10170	9614	115	217	8,42E-12	1,01E-10	

4596920			4596860	-	-	predicted RNA	antisense: SCO4186	1	2	1	2	2922	4810	4040	4670	26	67	17	19	13	13	15841	15870	20547	16867	148	283	1,70E-11	2,00E-10	

204169			204133	-	-	predicted RNA	-	10	8	0	0	20697	14504	1059	1237	101	253	1	1	2	3	1030	1345	3161	5079	35	71	2,44E-11	2,84E-10	

8485986			8486405	+	-	predicted RNA	antisense: SCO7659	110	122	49	65	214784	199340	104932	131277	153	387	71	68	54	64	65691	56275	81427	83366	88	170	2,55E-11	2,95E-10	

4481848			4481635	-	-	predicted RNA	antisense: SCO4087	3	4	12	7	6814	7127	26265	15145	24	64	71	41	25	28	65428	34390	38454	36928	110	204	2,90E-11	3,35E-10	

4674562			4674553	-	-	predicted RNA	-	3	3	2	3	7154	5269	4456	6130	225	575	0	1	1	1	844	1345	1995	1681	74	146	2,99E-11	3,44E-10	

