Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts novo10 Replicate 1	Raw Counts novo10 Replicate 2	Normalized Counts novo10 Replicate 1	Normalized Counts novo10 Replicate 2	RPKM novo10	Expression novo10	pValue wildtype vs novo10	qValue wildtype vs novo10
78251			77900	-	-	predicted RNA	antisense: SCO0091	41	49	47	35	80205	81168	101099	71141	92	236	121	93	149796	145967	140	420	0,188723105	1

159315			159371	+	-	predicted RNA	-	65	67	9	13	127550	109637	19401	27686	501	1246	66	47	82132	74657	462	1375	0,621512289	1

160185			160031	-	-	predicted RNA	-	26	30	3	9	51024	50366	7626	19769	83	207	26	24	31990	39079	75	229	0,853504289	1

167383			167285	-	-	predicted RNA	antisense: SCO0178	18	27	3	1	36685	44171	7170	3860	94	232	19	23	24351	37160	101	310	0,713018523	1

168605			168583	-	-	predicted RNA	-	19	18	2	2	38171	30190	4833	4930	340	849	20	16	24932	25357	365	1093	0,76473922	1

169583			169561	-	-	predicted RNA	-	10	11	1	2	19823	18365	3060	4177	199	493	9	7	11878	12040	173	519	0,809917592	1

185931			185759	-	-	predicted RNA	antisense: SCO0195	14	22	28	14	29094	36972	60275	29444	87	225	52	37	65086	59429	121	359	0,347335317	1

186721			186664	-	-	predicted RNA	antisense: SCO0196	10	10	1	1	20386	17601	3515	3060	77	192	13	12	16687	20151	105	317	0,405640101	1

187991			187600	-	-	predicted RNA	-	93	81	9	10	182545	132064	19570	21955	90	227	89	67	110006	106039	92	275	0,916485823	1

194723			194638	-	-	predicted RNA	-	46	47	12	19	90408	77379	26681	39854	271	681	57	43	70278	67685	269	802	0,832160626	1

200008			200023	+	-	predicted RNA	-	4	3	0	1	8416	4963	881	2242	102	257	4	3	5055	5320	108	324	0,940461603	1

202862			202851	-	-	predicted RNA	-	2	2	0	0	5193	4207	1228	986	96	241	3	2	4079	4303	116	349	0,575784922	1

204169			204133	-	-	predicted RNA	-	10	8	0	0	20697	14504	1059	1237	101	253	8	7	9975	12392	99	302	0,981900218	1

256447			256461	+	-	predicted RNA	-	2	2	0	0	5504	4400	217	753	73	181	1	1	1402	1704	34	103	0,383892903	1

373227			373048	-	-	predicted RNA	antisense: SCO0368	72	96	72	52	140598	156294	154600	105488	304	773	171	140	210988	219967	399	1197	0,546777336	1

373981			373630	-	-	predicted RNA	antisense: SCO0368	41	49	47	35	80205	81168	100108	71141	92	236	121	93	149079	146296	140	419	0,186569	1

527860			527844	-	-	predicted RNA	-	2	3	0	2	5145	5293	940	4419	93	232	1	1	2237	1964	41	123	0,196167498	1

647745			647886	+	-	predicted RNA	-	21	26	8	6	41102	43480	18163	13712	82	205	26	16	32472	26626	70	208	0,666115657	1

744245			744310	+	-	predicted RNA	-	2	3	7	7	3999	6025	15073	14550	57	150	15	11	19437	18790	97	289	0,218716693	1

744711			744768	+	-	predicted RNA	-	5	4	6	2	10552	6958	13300	6047	61	158	11	8	14666	12651	79	235	0,582882423	1

931850			931915	+	-	predicted RNA	antisense: SCO0886	5	2	7	5	10863	4134	15965	10400	59	156	12	10	15086	16007	78	235	0,571443455	1

1037875			1038137	+	-	predicted RNA	-	74	92	84	66	145092	150526	179320	135221	227	579	145	149	179313	234500	259	786	0,882363419	1

1135931			1136123	+	-	predicted RNA	antisense: SCO1075	17	17	22	16	33375	27849	46885	32905	70	182	35	30	43133	47534	78	234	0,819853187	1

1284539			1284552	+	-	predicted RNA	-	4	3	2	3	7902	6137	4852	6093	175	446	5	3	6328	6123	149	444	0,678932254	1

1285319			1285456	+	-	predicted RNA	-	14	24	17	19	28327	39731	36783	39361	103	261	45	47	55648	74023	154	469	0,181927051	1

1452587			1452602	+	-	predicted RNA	-	2	1	0	1	4504	2654	1267	2083	64	164	1	0	2051	856	31	90	0,355784494	1

1463071			1462972	-	-	predicted RNA	-	28	41	28	29	56198	67082	60810	58824	239	607	44	29	55271	46105	171	506	0,186927804	1

1571177			1570998	-	-	predicted RNA	antisense: SCO1471	72	96	72	52	140607	156294	154600	105488	304	773	171	140	210988	219967	399	1197	0,546783137	1

1571931			1571580	-	-	predicted RNA	antisense: SCO1471	45	53	49	35	88544	86493	104595	71615	97	249	123	93	151792	146150	141	423	0,259908861	1

1578993			1578968	-	-	predicted RNA	-	4	6	3	5	9736	10047	7962	11321	148	375	7	7	9184	11176	129	391	0,743132315	1

1580865			1580855	-	-	predicted RNA	-	6	9	9	8	13590	14962	19154	17062	575	1472	12	10	15309	16940	487	1465	0,699045794	1

1581492			1581475	-	-	predicted RNA	-	15	17	10	9	29938	28235	22650	19062	547	1387	17	16	21229	26595	439	1328	0,593287079	1

1581929			1581892	-	-	predicted RNA	-	18	22	12	10	36171	37020	25472	21471	313	790	21	18	26594	28644	242	726	0,488804714	1

1609838			1609826	-	-	predicted RNA	-	18	18	17	17	35414	29941	37763	35007	1035	2656	32	28	40253	44025	1079	3241	0,930523483	1

1623555			1623507	-	-	predicted RNA	-	10	8	4	6	19609	13498	9359	12782	110	281	10	11	13158	17789	104	315	0,932632231	1

1654237			1654210	-	-	predicted RNA	-	1	3	1	3	3630	6049	3783	6875	72	181	3	3	4857	6092	64	195	0,795623616	1

1710811			1710722	-	-	predicted RNA	-	129	151	136	148	251723	245499	289808	299497	1180	3018	217	220	267280	345027	1123	3401	0,375848463	1

1711022			1711009	-	-	predicted RNA	-	24	28	20	23	48199	47108	42685	48162	1307	3324	44	42	54165	66294	1424	4302	0,782345798	1

1737143			1737152	+	-	predicted RNA	-	1	2	0	1	3669	3378	792	2995	108	270	2	1	2484	2308	80	239	0,999062128	1

1752269			1752257	-	-	predicted RNA	-	1	2	1	0	3786	3732	2495	1925	90	229	3	3	3893	4869	111	337	0,55914052	1

1760149			1760136	-	-	predicted RNA	-	6	8	4	4	12785	13104	9993	9870	322	817	8	7	9944	11145	250	753	0,553091907	1

1767956			1767804	-	-	predicted RNA	-	16	30	16	12	31462	49408	34020	25667	91	229	50	39	61545	61738	134	402	0,211426735	1

1926230			1926191	-	-	predicted RNA	-	11	12	5	7	22531	20633	11755	15406	174	439	20	12	24919	19478	188	554	0,812091664	1

1967203			1967146	-	-	predicted RNA	-	11	12	8	9	21609	19789	18490	19266	134	341	22	17	27799	27497	159	476	0,6080606	1

1989702			1989763	+	-	predicted RNA	-	10	9	7	8	20425	15043	14925	17480	106	273	16	13	20241	21649	112	337	0,866213804	1

2000464			2000497	+	-	predicted RNA	-	23	29	17	22	45879	48403	36139	44459	508	1285	40	35	49351	56188	515	1552	0,966469294	1

2000924			2000961	+	-	predicted RNA	-	31	43	33	41	61887	70074	71159	84203	742	1890	65	68	80896	107637	817	2480	0,86880647	1

2002006			2002026	+	-	predicted RNA	antisense: SCO1868	1	0	2	1	3349	1037	4981	3851	59	157	3	3	4672	6039	84	255	0,474614233	1

2007526			2007605	+	-	predicted RNA	-	6	8	12	9	12464	13458	26710	18587	86	222	23	13	29029	20510	105	309	0,610722185	1

2056908			2056896	-	-	predicted RNA	-	5	6	3	3	10309	11246	7814	7172	278	702	7	6	9122	10373	249	749	0,779408824	1

2078006			2077973	-	-	predicted RNA	-	24	32	16	19	47412	53044	34554	38608	506	1276	31	29	39239	46586	418	1262	0,58446967	1

2102001			2101971	-	-	predicted RNA	-	1	3	2	2	3290	5703	4852	5730	62	157	8	4	10964	6513	96	281	0,373538134	1

2104331			2104303	-	-	predicted RNA	-	6	7	5	6	12231	11431	11963	12261	161	412	9	7	11563	12384	137	412	0,724734487	1

2104955			2104939	-	-	predicted RNA	-	3	3	2	2	6135	6338	6348	4763	136	346	5	3	6440	5595	119	353	0,72490476	1

2191394			2191367	-	-	predicted RNA	-	9	13	7	9	18493	21333	15578	18848	262	662	17	16	21687	25089	277	835	0,80962589	1

2232918			2232884	-	-	predicted RNA	-	7	11	6	8	15095	18558	13508	17043	181	458	12	11	15698	18125	160	483	0,803925424	1

2255420			2255403	-	-	predicted RNA	-	6	10	7	9	13649	17142	15806	18262	355	900	17	15	21075	23522	412	1238	0,647340502	1

2262862			2262813	-	-	predicted RNA	-	6	7	2	6	12513	12042	5912	12708	85	215	11	9	13862	14387	94	282	0,802091455	1

2308688			2308653	-	-	predicted RNA	-	3	3	3	2	6843	6475	8200	5312	72	186	8	3	10543	5764	78	226	0,98310102	1

2333771			2333832	+	-	predicted RNA	-	10	9	7	9	19745	15260	16906	19769	112	289	20	20	25197	32627	153	466	0,360931681	1

2354694			2354737	+	-	predicted RNA	-	3	5	4	3	7368	8229	9745	6168	70	179	12	5	15000	8760	92	270	0,543437701	1

2362871			2362903	+	-	predicted RNA	-	6	9	5	5	13173	14793	10626	10717	148	373	9	7	11631	11512	117	350	0,615189057	1

2462899			2463304	+	-	predicted RNA	antisense: rnpB SCO2293	73	205	132	120	142966	333400	280736	242757	245	615	219	138	269944	217009	203	599	0,22391987	1

2470315			2470212	-	-	predicted RNA	-	24	29	20	16	48325	48000	42577	32337	162	411	50	36	62342	57640	193	576	0,594461486	1

2535410			2535345	-	-	predicted RNA	-	7	8	7	8	13901	14407	16499	16178	90	231	17	14	21674	22360	111	333	0,560493531	1

2537334			2537321	-	-	predicted RNA	-	12	14	6	8	24919	23545	13855	18150	569	1436	19	16	23998	26488	600	1803	0,819525802	1

2561366			2561434	+	-	predicted RNA	-	124	142	95	115	242558	230810	203218	234058	1297	3299	206	203	254134	318347	1372	4148	0,67051936	1

2753813			2753792	-	-	predicted RNA	-	1	3	4	3	3446	5598	9200	7451	113	291	4	3	5673	6108	89	267	0,539130134	1

2767186			2767174	-	-	predicted RNA	-	0	0	1	0	1640	643	2604	1590	47	124	3	1	4734	2637	97	283	0,191937369	1

2786713			2786687	-	-	predicted RNA	-	5	5	4	7	11639	8390	9903	15861	165	424	8	7	10290	12376	139	419	0,691957391	1

2812626			2812615	-	-	predicted RNA	-	28	33	35	33	55586	55015	74794	67717	2057	5273	48	43	59449	67632	1760	5295	0,468726989	1

2818632			2818492	-	-	predicted RNA	-	13	18	21	24	26366	29337	45280	49976	104	267	56	34	68967	54674	148	438	0,308769283	1

2819481			2819444	-	-	predicted RNA	-	15	22	11	12	30666	37141	25294	25202	309	778	30	22	36897	35219	318	948	0,920279745	1

2845999			2845959	-	-	predicted RNA	-	22	26	22	23	43549	43721	47519	46441	433	1105	36	32	45098	50890	389	1170	0,714175047	1

2859163			2858984	-	-	predicted RNA	antisense: SCO2632	72	96	72	52	140598	156294	154600	105488	304	773	173	140	212960	219967	401	1202	0,537219678	1

2860936			2860967	+	-	predicted RNA	antisense: SCO2634	4	3	1	0	9008	5196	3426	1748	59	151	2	1	3325	1911	28	81	0,172475667	1

2982257			2982568	+	-	predicted RNA	-	79	73	51	46	154916	118695	109438	94622	150	382	169	97	208893	152106	196	578	0,588322141	1

3034532			3034612	+	-	predicted RNA	-	10	19	7	10	20997	31630	15083	20764	109	273	15	10	19171	16306	73	218	0,315608511	1

3065796			3065811	+	-	predicted RNA	-	0	0	1	0	1242	1544	3644	1786	49	128	2	0	3016	1536	49	142	0,459033544	1

3123188			3123198	+	-	predicted RNA	-	1	1	0	0	3145	2340	1089	1572	73	185	1	1	1433	2094	52	160	0,575111895	1

3206787			3206778	-	-	predicted RNA	-	35	46	33	34	68663	76236	71070	70034	2816	7150	51	48	63368	76347	2315	6985	0,377034204	1

3208724			3208816	+	-	predicted RNA	-	16	36	28	47	32259	59102	60889	95469	262	665	77	48	95488	75934	312	921	0,756819621	1

3226549			3226851	+	-	predicted RNA	antisense: SCOs02	89	201	93	88	174876	327165	198346	178667	291	725	234	135	287929	212330	280	825	0,495278558	1

3273897			3273880	-	-	predicted RNA	-	4	3	3	3	8426	5542	7467	7721	157	404	6	5	7941	8722	154	462	0,908344523	1

3282858			3282826	-	-	predicted RNA	-	22	20	3	9	43287	32861	7051	18169	306	767	21	20	26915	32505	298	900	0,985375774	1

3283784			3283768	-	-	predicted RNA	-	13	16	7	8	27152	26836	15935	17099	507	1279	20	20	25488	31541	555	1677	0,746908953	1

3301917			3302010	+	-	predicted RNA	antisense: SCOr09	2	13	6	11	4271	21269	14469	23481	67	168	19	6	24245	10511	64	184	0,879203678	1

3306784			3306763	-	-	predicted RNA	-	5	6	3	5	9960	10538	7289	10587	172	436	12	7	14956	12277	209	618	0,658321532	1

3320745			3320719	-	-	predicted RNA	-	12	13	10	11	23677	21438	22036	23211	327	836	22	16	27249	25135	326	970	0,999978309	1

3332597			3332744	+	-	predicted RNA	-	11	11	16	14	21493	18502	34406	29956	68	176	17	22	21409	35937	63	193	0,847597479	1

3350992			3350935	-	-	predicted RNA	-	9	12	8	8	17940	20907	17005	16410	123	311	13	11	16186	18760	100	301	0,639247335	1

3360063			3359965	-	-	predicted RNA	-	10	19	16	17	21386	31550	35337	34672	122	310	23	16	28615	25441	91	273	0,415264821	1

3423937			3423953	+	-	predicted RNA	-	5	10	8	6	11134	16523	16985	13405	336	853	14	11	17632	17620	347	1036	0,911713352	1

3425779			3425788	+	-	predicted RNA	-	4	4	5	5	8193	8020	11112	11219	375	963	8	7	10951	11061	368	1100	0,932082246	1

3494481			3494509	+	-	predicted RNA	-	9	10	7	9	17571	16507	16539	18764	234	598	15	13	18986	21825	233	703	0,965505663	1

3510317			3510202	-	-	predicted RNA	-	14	29	12	12	29045	48556	25888	24430	110	275	34	33	42676	52457	135	410	0,501191088	1

3652153			3652042	-	-	predicted RNA	-	9	7	12	7	17833	11945	26691	15964	62	161	22	24	27818	38957	98	298	0,181054705	1

3673415			3673240	-	-	predicted RNA	-	23	34	29	26	46286	56729	63196	52804	122	311	59	34	73708	53971	123	362	0,870158805	1

3669442			3669808	+	-	predicted RNA	antisense: SCO3317 hemC	62	86	85	87	122638	140624	181895	176574	165	423	185	103	227849	162112	181	531	0,904123213	1

3699942			3699916	-	-	predicted RNA	-	5	5	3	5	10989	9516	6922	11787	142	363	10	5	12978	9089	139	408	0,905181201	1

3715521			3715531	+	-	predicted RNA	-	6	8	3	5	13115	13836	8091	11405	418	1055	12	9	15537	14815	463	1379	0,802788631	1

3716151			3716168	+	-	predicted RNA	-	44	59	33	37	87729	96460	69961	76528	1818	4592	79	60	97342	94167	1783	5319	0,787603438	1

3716803			3716847	+	-	predicted RNA	-	16	18	7	10	32375	29643	16499	20262	217	548	31	21	38578	33621	270	802	0,527135283	1

3739211			3739048	-	-	predicted RNA	-	86	95	37	56	167993	155578	79706	114773	313	789	116	94	142719	147955	296	886	0,629250723	1

3763682			3763786	+	-	predicted RNA	-	15	12	14	21	30628	20633	31544	42636	115	298	34	22	41959	35081	123	366	0,900923607	1

3763935			3764055	+	-	predicted RNA	-	21	26	9	16	41869	43632	20699	33965	115	289	29	22	36545	34653	98	294	0,663405519	1

3770157			3770146	-	-	predicted RNA	-	8	7	6	7	16571	12645	12845	14624	461	1180	13	10	16427	16458	458	1370	1	1

3854836			3855100	+	-	predicted RNA	-	27	39	35	33	53324	64017	76280	68341	96	247	62	36	76903	57854	86	254	0,499560109	1

3911585			3911458	-	-	predicted RNA	-	13	16	20	19	25415	26844	44191	39361	103	265	52	35	64159	55760	157	468	0,202655044	1

3954130			3954077	-	-	predicted RNA	-	20	23	22	23	40287	38605	48519	48125	317	812	32	30	39678	48199	269	813	0,606485238	1

3979687			3979599	-	-	predicted RNA	-	2	4	10	10	3999	7457	21352	20532	57	149	17	11	21644	18492	76	225	0,508894878	1

3997625			3997616	-	-	predicted RNA	-	3	4	3	2	7174	7087	8230	5786	276	706	4	3	4944	5297	170	512	0,233059579	1

4013708			4013870	+	-	predicted RNA	-	20	22	20	16	39093	37044	43715	32533	91	233	23	22	29283	35868	66	199	0,332538993	1

4134483			4134444	-	-	predicted RNA	-	10	15	9	8	20007	25002	20511	17313	205	517	13	8	16106	14012	126	376	0,218771857	1

4141353			4141419	+	-	predicted RNA	-	18	23	18	16	36685	38074	39586	33305	216	550	23	17	29215	28117	143	427	0,213905689	1

4141893			4141938	+	-	predicted RNA	-	21	24	20	29	41093	39095	43022	59903	389	995	34	27	42459	43230	311	931	0,470638379	1

4172682			4172663	-	-	predicted RNA	-	4	6	3	4	8309	10425	7794	8149	171	433	9	5	11341	9112	173	511	0,979920539	1

4182908			4182985	+	-	predicted RNA	-	4	13	7	8	9397	21526	16945	17238	83	208	13	18	16180	28239	92	284	0,662304775	1

4185824			4185815	-	-	predicted RNA	-	0	1	1	0	1757	1665	2337	1637	72	184	1	1	1872	2002	64	193	0,463023752	1

4214481			4214471	-	-	predicted RNA	-	2	2	0	0	5106	3861	455	921	94	235	2	2	2954	3218	93	280	0,529463772	1

4219200			4219224	+	-	predicted RNA	antisense: SCO3836	3	2	0	1	7581	4183	1119	2130	59	150	4	4	5160	6880	79	240	0,520463822	1

