Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts TopA_overexpression Replicate 1	Raw Counts TopA_overexpression Replicate 2	Raw Counts TopA_overexpression Replicate 3	Normalized Counts TopA_overexpression Replicate 1	Normalized Counts TopA_overexpression Replicate 2	Normalized Counts TopA_overexpression Replicate 3	RPKM TopA_overexpression	Expression TopA_overexpression	pValue wildtype vs TopA_overexpression	qValue wildtype vs TopA_overexpression
2258205			2257920	-	-	predicted RNA	-	717	895	912	502	1400398	1455442	1934941	1015340	1984	5075	10188	3765	1649	8345875	4143624	3335248	8500	18443	6,23E-08	2,19E-06

3304678			3304941	+	-	predicted RNA	antisense: SCO3022	11	12	5	6	22259	20352	10943	13359	25	63	65	55	20	53463	60931	41179	83	196	6,40E-08	2,23E-06

2859430			2858961	-	-	predicted RNA	antisense: SCO2632	86	110	94	70	167896	180009	200039	142310	144	367	970	401	117	795164	441916	237741	492	1045	6,76E-08	2,33E-06

1471388			1471608	+	-	predicted RNA	antisense: rrnC	62	241	167	120	122046	392800	354580	243213	502	1258	158	133	4	130133	146455	9537	206	431	7,76E-07	2,43E-05

1919267			1919487	+	-	predicted RNA	antisense: rrnB	62	241	167	120	122046	392800	354580	243213	502	1258	158	133	4	130133	146455	9537	206	431	7,76E-07	2,43E-05

3688201			3688421	+	-	predicted RNA	antisense: rrnF	62	241	167	120	122046	392800	354580	243213	502	1258	158	133	4	130133	146455	9537	206	431	7,76E-07	2,43E-05

3299426			3299646	+	-	predicted RNA	antisense: SCOr08	62	242	167	120	122046	394312	354580	243213	503	1260	159	133	4	130370	146455	9537	206	431	7,99E-07	2,47E-05

4533003			4532783	-	-	predicted RNA	antisense: rrnA	62	242	167	120	122046	394312	354580	243213	503	1260	159	133	4	130370	146455	9537	206	431	7,99E-07	2,47E-05

6272328			6272108	-	-	predicted RNA	antisense: rrnE	62	242	167	120	122046	394312	354580	243213	503	1260	159	133	4	130370	146455	9537	206	431	7,99E-07	2,47E-05

5119333			5119345	+	-	predicted RNA	-	0	0	0	0	1252	941	1416	1330	36	94	8	5	2	6844	6369	5058	201	468	5,59E-06	1,57E-04

1418985			1418869	-	-	predicted RNA	-	2	4	5	2	5649	6507	12340	5321	24	63	28	19	14	23538	21231	28542	84	208	6,78E-06	1,87E-04

166621			166890	+	-	predicted RNA	-	94	79	31	14	184787	129458	66128	29118	149	379	240	248	118	197022	273626	239923	356	877	2,93E-05	7,27E-04

5715389			5715556	+	-	predicted RNA	antisense: SCO5256	26	48	30	26	51072	78931	64038	53577	146	368	44	31	3	36794	34745	6474	73	154	4,05E-05	9,80E-04

6154047			6154038	-	-	predicted RNA	-	1	2	0	1	3669	4223	307	3097	113	282	0	0	0	261	204	1433	20	63	4,06E-05	9,80E-04

2256501			2256435	-	-	predicted RNA	-	1	2	1	1	2242	3788	2475	3553	17	44	15	10	5	12823	11141	10588	72	171	5,08E-05	0,001201212

8006669			8007239	+	-	predicted RNA	antisense: SCO7204	48	53	58	59	94767	86742	123234	119499	72	185	471	199	58	386108	219567	117588	198	422	5,46E-05	0,001281163

4515595			4515723	+	-	predicted RNA	-	5	12	15	8	11367	20312	33326	16429	61	157	15	6	1	12835	7010	3562	28	60	5,78E-05	0,001333827

3363134			3363201	+	-	predicted RNA	antisense: SCO3070	0	2	1	0	1727	3282	2693	632	12	30	8	7	4	7276	7713	9698	48	121	7,13E-05	0,001608222

3494884			3494905	+	-	predicted RNA	-	12	13	13	14	24094	21494	28047	28281	451	1158	10	8	6	8790	9537	12806	186	471	7,82E-05	0,001731218

3393139			3393043	-	-	predicted RNA	-	2	3	3	2	4824	5381	6962	4660	22	56	21	13	9	17550	14784	19155	72	176	9,99E-05	0,00216111

160228			160367	+	-	predicted RNA	antisense: SCO0170	9	11	1	1	17940	17947	3496	2763	30	75	26	31	15	21480	34463	32086	83	209	1,03E-04	0,002213114

156789			156438	-	-	predicted RNA	antisense: SCO0166	33	48	9	7	65750	78626	20104	16075	51	128	82	103	50	67417	113817	102520	106	268	1,04E-04	0,002231568

5241278			5241308	+	-	predicted RNA	-	1	2	3	3	3232	4520	8249	7023	72	185	2	0	0	2411	1039	1932	24	57	2,18E-04	0,004332667

1509468			1509279	-	-	predicted RNA	-	12	13	16	14	24075	22178	34059	29593	56	144	63	56	33	51679	62191	68590	128	320	2,19E-04	0,004342339

6031573			6031610	+	-	predicted RNA	-	1	1	0	0	2931	3113	2040	1860	25	65	6	5	7	5646	6247	15192	85	237	2,44E-04	0,004784921

4359699			4359732	+	-	predicted RNA	antisense: SCO3960	0	0	1	1	1834	1447	2614	2558	24	62	11	7	2	9280	8100	5913	99	228	2,74E-04	0,005297304

7166633			7166544	-	-	predicted RNA	-	1	1	2	1	2572	1922	5239	3349	13	36	12	9	6	10266	10013	13678	50	125	2,74E-04	0,005297304

4481848			4481738	-	-	predicted RNA	antisense: SCO4087	2	2	7	4	5436	4191	16004	9163	29	78	43	14	10	35243	15852	20375	95	214	3,08E-04	0,005903249

669659			669923	+	-	predicted RNA	antisense: SCO0627	149	214	235	140	292029	349127	499465	282723	524	1342	1728	629	171	1415679	692259	347181	1478	3088	3,18E-04	0,006041959

37613			37539	-	-	predicted RNA	-	6	4	6	8	12794	7883	13528	17210	66	171	10	2	1	8731	2709	3633	31	66	4,71E-04	0,008719349

159315			159371	+	-	predicted RNA	-	65	67	9	13	127550	109637	19401	27686	501	1246	135	144	68	110694	159178	137581	965	2382	0,001000179	0,017429006

4711183			4711029	-	-	predicted RNA	antisense: groEL	18	28	13	10	35530	46754	29246	20857	85	213	10	9	13	8677	10859	27348	35	100	0,001010984	0,017541917

7632024			7632185	+	-	predicted RNA	antisense: SCO6861	5	10	9	3	11047	17593	19282	6595	33	84	41	23	17	33920	25555	35791	80	196	0,001019994	0,017627097

5367502			5367511	+	-	predicted RNA	-	1	2	1	1	3659	3418	3446	3721	139	356	2	1	0	1833	1321	276	55	114	0,001034081	0,017833617

1666820			1666551	-	-	predicted RNA	-	19	19	51	32	37433	31461	109388	66154	86	226	125	83	77	102656	91562	156469	169	432	0,001167745	0,01981132

199920			200023	+	-	predicted RNA	-	13	9	0	3	26890	15895	1871	6419	48	122	31	36	10	25871	40268	21863	119	282	0,001908715	0,030697575

5118590			5118608	+	-	predicted RNA	-	0	1	0	0	1164	1769	1594	883	28	71	5	5	1	4474	5800	3758	104	246	0,002615366	0,040203428

7869666			7869899	+	-	predicted RNA	antisense: SCO7080	13	14	12	12	27142	24181	26473	24727	42	109	67	44	23	55663	49098	46727	91	215	0,002784824	0,042263504

168604			168583	-	-	predicted RNA	-	18	18	2	2	37035	29281	4664	4753	345	860	30	41	22	25072	46024	45435	686	1765	0,003118514	0,046482562

5114903			5114893	-	-	predicted RNA	antisense: SCO4685	0	0	0	0	766	353	1138	307	21	58	4	2	0	3367	2548	1567	102	226	0,003515133	0,0518389

6269833			6269727	-	-	predicted RNA	-	3	14	7	13	7038	23336	16460	28123	69	175	8	14	2	6752	16366	4408	36	85	0,004054842	0,058658175

4596920			4596863	-	-	predicted RNA	-	1	2	1	2	2844	4681	3931	4558	27	69	15	6	6	13010	7226	13135	79	191	0,00448722	0,063698684

1326728			1326755	+	-	predicted RNA	-	3	3	3	3	6018	5043	6893	7405	88	226	5	2	0	4207	2532	1211	44	94	0,006120708	0,08135278

3911585			3911458	-	-	predicted RNA	-	13	16	20	19	25415	26844	44191	39361	103	265	95	50	23	78303	55462	47938	207	473	0,006728529	0,08858523

3716151			3716168	+	-	predicted RNA	-	44	59	33	37	87729	96460	69961	76528	1818	4592	42	42	24	34436	46837	50129	965	2433	0,00705603	0,091739386

3983428			3983409	-	-	predicted RNA	antisense: SCO3606	0	1	0	0	1164	1624	1951	1795	32	81	9	4	1	7525	4622	2564	113	245	0,008222132	0,104142844

3501305			3501323	+	-	predicted RNA	-	10	12	4	8	21036	20513	9388	17415	357	899	11	5	5	9343	6419	10508	187	460	0,008265495	0,104533467

6370905			6370948	+	-	predicted RNA	-	1	2	0	1	2038	3515	2099	2986	24	60	6	5	5	4993	5529	12058	62	171	0,008637626	0,108255647

510798			510562	-	-	predicted RNA	antisense: SCO0488	28	23	3	15	56140	37454	8210	30644	55	139	7	5	20	6066	6076	40822	23	74	0,009112372	0,113530856

2838861			2838802	-	-	predicted RNA	-	4	4	4	6	8950	7859	10002	13861	66	169	9	6	0	7517	6717	454	39	81	0,009442595	0,11642148

4323852			4324388	+	-	predicted RNA	-	54	100	53	46	106096	163599	114241	93599	88	222	194	177	130	159517	194763	264190	149	383	0,010307969	0,124696547

3301917			3302010	+	-	predicted RNA	antisense: SCOr09	2	13	6	11	4271	21269	14469	23481	67	168	9	12	1	7567	13391	3775	38	87	0,010583179	0,127104747

5405971			5406044	+	-	predicted RNA	antisense: SCO4970	1	2	1	1	2922	4569	2545	2028	16	40	8	6	5	6819	7342	10544	43	111	0,01179336	0,140027283

4626203			4626393	+	-	predicted RNA	-	15	15	7	18	30365	24631	16133	37594	55	142	40	38	34	33550	42419	69516	95	253	0,012330326	0,144552289

200602			200613	+	-	predicted RNA	-	4	3	0	0	7814	6298	1455	1460	142	354	14	11	4	11484	12341	8424	384	895	0,012724157	0,147689119

167383			167248	-	-	predicted RNA	antisense: SCO0178	22	32	4	2	44694	52200	8735	4605	82	202	51	50	24	42191	55755	48748	146	359	0,012882381	0,148932462

2517623			2517394	-	-	predicted RNA	-	23	31	26	25	45568	50904	56175	52200	87	222	131	70	29	107991	77844	59880	157	356	0,012889623	0,148932462

7726214			7726009	-	-	predicted RNA	antisense: SCO6958 SCO6959	4	8	5	2	9717	13136	12667	5944	19	50	24	11	16	19796	13164	32736	40	106	0,013536242	0,154776725

1987234			1987273	+	-	predicted RNA	antisense: SCO1854	5	6	5	3	9863	9902	10815	7386	93	237	8	5	0	7130	5667	1335	56	117	0,014501288	0,162910161

3715522			3715531	+	-	predicted RNA	-	6	8	3	5	12959	13562	8051	11219	454	1144	5	5	3	4374	6070	7792	234	607	0,017605824	0,189620407

4659705			4659656	-	-	predicted RNA	antisense: SCO4250	2	1	2	2	4863	2171	5972	5042	34	90	22	9	1	18349	10732	3410	104	216	0,01954737	0,207849552

6069064			6069119	+	-	predicted RNA	-	21	25	32	23	42393	42217	68564	47874	348	897	122	65	29	100511	72354	60130	610	1386	0,019605449	0,20797788

2982232			2982580	+	-	predicted RNA	-	82	74	53	48	161343	121816	113162	98418	138	354	249	161	111	204627	178154	225923	237	581	0,020480676	0,215305044

3509097			3509080	-	-	predicted RNA	-	5	2	6	5	10416	3346	13865	11517	206	543	14	3	0	11688	3461	231	149	284	0,021066887	0,21841554

1517341			1517356	+	-	predicted RNA	-	8	9	8	8	16260	14906	17827	16243	398	1019	32	24	17	26594	27043	35675	742	1860	0,024381902	0,241359515

4729838			4729904	+	-	predicted RNA	-	3	1	4	2	7018	2469	10409	4456	34	90	24	6	6	19937	6789	12886	86	197	0,029501021	0,276679803

6266534			6266631	+	-	predicted RNA	-	24	22	10	14	47170	36046	21679	29500	135	342	14	16	13	11983	18506	27918	74	198	0,030219503	0,281181189

3123188			3123198	+	-	predicted RNA	-	1	1	0	0	3145	2340	1089	1572	73	185	1	0	0	1126	812	1318	39	98	0,031679729	0,289628362

6413904			6414123	+	-	predicted RNA	antisense: SCO5857	6	12	13	14	12154	20706	29375	29174	40	103	47	32	21	38972	36215	42541	73	178	0,031793817	0,29035338

605096			604843	-	-	predicted RNA	antisense: SCO0562	10	14	7	13	21308	22781	16698	26988	34	86	43	32	20	35496	35983	41740	60	148	0,032781103	0,297417244

2462899			2463304	+	-	predicted RNA	antisense: rnpB SCO2293	73	205	132	120	142966	333400	280736	242757	245	615	233	98	60	191480	108868	123038	152	347	0,034089352	0,30563246

5699765			5700036	+	-	predicted RNA	-	86	109	33	51	168206	178247	71278	104688	191	480	323	185	72	264923	204528	146041	334	754	0,035270872	0,311540707

217314			217274	-	-	predicted RNA	-	4	5	3	4	8484	8679	7952	8140	79	202	1	4	3	1563	5280	6563	39	108	0,035704244	0,313896837

1526827			1526780	-	-	predicted RNA	-	1	2	2	1	2514	4754	4654	3497	31	80	9	7	5	7675	8277	11087	74	187	0,035688043	0,313896837

5605279			5605050	-	-	predicted RNA	-	37	33	40	28	72614	53680	86877	58479	114	295	50	28	24	41609	31648	50013	72	178	0,03594371	0,315480698

194723			194712	-	-	predicted RNA	-	6	6	1	2	13299	11101	3961	5219	278	699	22	16	6	18407	18406	13714	601	1403	0,037512931	0,325489018

7588453			7588466	+	-	predicted RNA	-	0	0	0	0	805	1061	1138	837	27	68	2	1	1	2174	2128	3179	70	178	0,039298646	0,335416807

4957722			4957587	-	-	predicted RNA	-	5	3	5	10	10960	6483	12290	20867	35	93	19	16	17	15733	18329	35924	63	171	0,040118139	0,340657279

5182853			5182886	+	-	predicted RNA	-	5	9	5	6	10387	14713	12092	13647	148	373	6	5	5	4918	5954	11541	81	219	0,0423376	0,353745694

4228778			4228871	+	-	predicted RNA	-	17	21	17	18	33880	35467	36377	38319	150	383	25	19	11	20528	21917	23617	95	234	0,051028747	0,401393176

4013708			4013870	+	-	predicted RNA	-	20	22	20	16	39093	37044	43715	32533	91	233	43	14	9	35634	16078	18870	64	144	0,052547472	0,406877316

46736			46867	+	-	predicted RNA	antisense: SCO0061	4	11	7	5	8960	18928	15559	11480	41	104	34	17	12	28598	19689	24267	77	183	0,052912013	0,408562972

5133037			5133096	+	-	predicted RNA	-	196	264	190	175	383147	429426	403743	354088	2578	6543	221	283	111	181168	311860	225630	1621	3992	0,054142107	0,41460933

4482408			4482378	-	-	predicted RNA	-	23	29	25	23	45296	47823	55085	47232	617	1576	69	56	44	57214	62573	88948	878	2244	0,054303776	0,415377899

5963136			5963165	+	-	predicted RNA	-	12	14	7	7	24026	23948	15172	15601	260	656	13	12	5	11151	14088	11630	169	409	0,054512939	0,415542927

1149831			1149821	-	-	predicted RNA	-	0	0	0	0	931	571	911	1023	30	78	2	1	1	2158	2034	2538	82	203	0,055003688	0,418138239

5726739			5726635	-	-	predicted RNA	antisense: SCO5266	9	9	12	8	18279	15477	27107	18122	72	188	29	10	0	23958	11578	1540	59	117	0,055659197	0,419596169

1767972			1767633	-	-	predicted RNA	-	28	55	30	25	55489	90724	63721	50748	76	191	132	86	39	108212	95294	80167	119	278	0,056302713	0,422443948

5761901			5761944	+	-	predicted RNA	-	1	4	5	4	3718	6507	10706	8391	64	166	10	2	0	8694	2858	846	47	93	0,060283223	0,443724924

1231538			1231507	-	-	predicted RNA	-	0	0	0	1	1524	1335	1762	2232	20	53	2	2	3	1933	3278	6803	44	125	0,060762322	0,445288064

5648458			5648491	+	-	predicted RNA	-	0	0	3	1	1562	1520	6378	3628	36	96	8	7	3	6948	8017	7240	89	217	0,062495277	0,455190292

5127558			5127545	-	-	predicted RNA	-	0	1	0	0	0	1946	831	297	22	54	2	1	1	1950	1885	2101	57	141	0,063686986	0,459033705

8216456			8216426	-	-	predicted RNA	-	9	8	3	6	18561	14351	6417	13684	168	427	13	7	2	10906	7884	5842	117	264	0,063670116	0,459033705

249718			249747	+	-	predicted RNA	-	3	4	2	2	6999	7529	5694	4688	82	207	11	16	4	9584	18367	9315	172	414	0,064396871	0,461896818

3669442			3669902	+	-	predicted RNA	antisense: SCO3317 hemC	71	94	95	94	138811	152867	201485	190399	144	370	380	221	101	312000	243962	205815	239	550	0,065020464	0,46386822

4548002			4548012	+	-	predicted RNA	antisense: SCO4134	0	1	1	0	941	1850	2812	1953	67	171	2	0	0	1667	425	765	39	86	0,065827956	0,468028916

6818847			6818639	-	-	predicted RNA	-	36	74	184	123	71798	120255	390521	249055	381	994	269	93	28	221068	102742	57182	290	607	0,065925452	0,468323189

4530489			4530470	-	-	predicted RNA	-	0	3	1	1	1698	5952	2931	2949	68	169	2	2	0	1808	3206	712	42	95	0,068095763	0,480063626

3934708			3934890	+	-	predicted RNA	-	85	129	51	48	167469	210304	108279	97711	319	797	69	133	29	56798	146361	59649	198	478	0,073168366	0,503492456

8453818			8453705	-	-	predicted RNA	-	4	7	5	7	8902	12702	11627	14392	41	104	25	18	10	21106	20673	20829	75	183	0,07318172	0,503492456

2000464			2000497	+	-	predicted RNA	-	23	29	17	22	45879	48403	36139	44459	508	1285	57	51	39	47106	56446	79454	695	1794	0,081372723	0,54549164

5965010			5965021	+	-	predicted RNA	-	5	5	2	4	9989	8752	6150	9572	282	717	5	5	2	4760	6430	4719	183	441	0,082641219	0,5493962

6325998			6326015	+	-	predicted RNA	-	3	3	2	1	6174	5196	4328	3246	103	263	3	2	1	2760	3146	2333	64	152	0,087361432	0,569247362

2262862			2262769	-	-	predicted RNA	-	9	11	3	9	18046	18365	7784	19750	67	170	28	23	14	23301	26219	28577	111	276	0,08779466	0,57117851

2232944			2232884	-	-	predicted RNA	-	11	17	10	13	22929	28332	21273	26495	160	405	36	25	28	29521	28552	56879	237	628	0,092189225	0,592381417

150447			150461	+	-	predicted RNA	antisense: SCO0161	1	0	0	0	2582	1504	554	353	32	83	3	2	1	2914	2781	2671	77	185	0,093634099	0,597536952

1054496			1054305	-	-	predicted RNA	antisense: SCO0998	14	20	6	4	28434	32764	13122	9517	43	109	24	32	20	20286	35519	42087	64	169	0,094458152	0,600976145

2767186			2767161	-	-	predicted RNA	-	1	0	2	1	3067	1214	4605	2716	42	111	13	4	1	10690	4622	3544	113	241	0,095763918	0,605103272

5206859			5206958	+	-	predicted RNA	antisense: SCO4786	11	12	13	12	22133	19805	28642	24895	92	238	26	12	5	22070	13833	11969	71	159	0,097817008	0,615626601

6006642			6006714	+	-	predicted RNA	-	7	9	5	6	15318	16145	10904	13061	75	189	5	10	5	4777	11052	11514	47	124	0,099259143	0,621076509

4182937			4182964	+	-	predicted RNA	-	1	4	3	3	3174	8108	6625	6279	86	215	5	3	1	4278	3759	2769	55	128	0,102573195	0,632800044

7515845			7515909	+	-	predicted RNA	-	1	4	5	5	2407	7674	11855	10186	48	123	15	10	9	12382	11130	20117	86	223	0,104389041	0,638805338

6486278			6486642	+	-	predicted RNA	-	30	39	39	48	58897	63993	82707	98865	81	208	148	90	43	121530	99883	88761	121	283	0,104676042	0,639455289

160185			160012	-	-	predicted RNA	antisense: SCO0169	28	33	4	10	55295	54243	8755	21211	80	200	46	63	20	37879	69755	40974	117	284	0,108198126	0,651481979

7156304			7156248	-	-	predicted RNA	-	30	36	26	24	60431	59810	56095	50395	391	994	45	35	18	37214	39068	38320	276	670	0,10887886	0,654292185

291703			291552	-	-	predicted RNA	antisense: SCO0297	6	7	8	7	12095	12388	17757	14429	36	93	39	10	11	32474	11970	23884	64	149	0,11073644	0,661644282

